text,sentiment
இதை அனைத்து சகோதரர்களும் செய்ய வேண்டும்,angry
வாள் வன்முறையா?,neutral
பக்ஷ என்றால் தந்தையின் சொத்தைப் புரிந்துகொள்பவர்களைக் கும்பிடுவது.,angry
மத்தியில் மோடி அரசால் நாட்டின் ஜனநாயகம் பலவீனப்படுகிறது!,sad
மேடம் லோட்கே பாலா சாஹேப் சிவசேனாவில் சேர்ந்தால் அடிமைகள் துரோகி என்று சொல்வார்களா?,angry
முதல்வர் PA உங்கள் காதுக்குக் கீழே விளையாடியதைக் கேட்டேன்... உண்மையா?,happy
"பிஜேபிக்கு என்சிபி 'பெரிய அதிர்ச்சி', 'யா' மாவட்டத்தில் அதிகபட்ச இடங்களில் வெற்றி; பாஜக இடங்கள் மட்டுமே",neutral
சவுரவ் கங்குலியை துன்புறுத்தியதாக பிரதமர் மோடியிடம் மம்தா பானர்ஜி முறையிட்டார்.,neutral
எரு புழுக்களின் விலையும் இதேதான் என்று புடா ட்வீட் செய்துள்ளார்,angry
"மணமகன் தலைவணங்கத் தயாராக இருக்கிறார், ஆனால் அவரது தந்தை சரியான நேரத்தில் திருமணத்தை ரத்து செய்தார்.",happy
ஆனால் பாலா சாஹேப் இந்து மதத்தின் இந்த சக்தியைக் கொண்டிருக்கவில்லை என்று நினைக்கிறீர்களா?,neutral
இது அனைத்து குஜராத்திகளின் பிரச்சனை,angry
"நான் நீரஜ், நீரஜ் சோப்ரா அல்ல",neutral
ஜோதி என்பதும் ஒரு பொதுவான மண்புழு,angry
ஷார்ட்ஸ் கிழிந்து போகிறது என்று ஏற்கனவே தெரிந்ததால் தையல்காரரை அழைத்தேன்.,neutral
உங்கள் தந்தைக்கு அவரது சொந்த செலவில் ஒரு நினைவுச்சின்னம் கட்ட உங்கள் முதலாளியிடம் கேளுங்கள்.,angry
மேலும் கோப்கர் தனது வலுவான மரிஜுவானாவை இன்று கொன்றார் ???,happy
"அகர்வால் (சஜ்வாடி கட்சி) தான் மோடியை அவமானப்படுத்துகிறார், பாஜகவும் அதைப் பற்றி பேசுகிறது",angry
மராத்வாடா பல்கலைக்கழகத்தில் இந்த கழிவுகள் மீது யாராவது கடுமையான நடவடிக்கை எடுப்பார்களா? ஆம் ஆம்,angry
அவர் ஒரு மோசமான தலைவர்,angry
"போசாரிக்கு போ... ஊழல்வாதிகள், அடக்குமுறையாளர்கள் மற்றும் மிரட்சிகள் அனைவரையும் பிடிக்கவும்.. feku-tadiparty ""khajap"".",angry
ஆப்கானிஸ்தானில் தலிபான்களால் சித்திரவதை செய்யப்பட்ட சீக்கியர்கள்!,sad
இதற்கு நல்ல உதாரணம் பச்சை வெங்காயம். பொருளாதாரத்துக்கான நோபல் பரிசை யாரோ அவர் மீது வீசினர்.,angry
முடிவு எடுக்கும்போதுதான் வெளியேற்றம் செய்யப்படும்.,angry
"அதாவது, வோக்ஸ் ஏன் வழி நடத்துகிறார்?",angry
அபயங்கர் அதிக சக்தி வாய்ந்தவர்,fear
உங்கள் மாநிலத்தில் நடுத்தர வர்க்க யானைகள் எதையோ இனிமையாகத் தேடுவது போல...,neutral
இது மிகவும் சோகமான சம்பவம்,sad
அழுகையை கேட்க மிகவும் ஆர்வமாக உள்ளது,happy
திருடன் வாந்தி வெடி என்பார்கள்... பொது அறிவு இல்லாத போது இப்படித்தான் நடக்கும்.,angry
நீ என்ன செய்கிறாய்,angry
"அட, என்ன ஒரு பொய்யான செய்தியை கொடுப்பது... படம் வெளியாகி பார்வையாளர்களின் வரவேற்பை பெற்றுள்ளது",angry
என்ன நடந்தது உங்கள் வயிற்றில் நீங்கள் ஒரு குறும்புக்கார/நரி பென்குயினா?,angry
ஏழு தலைமுறைகளையும் துரோகிகளாக அறிவிக்கவும்,angry
தாக்கரே குழு உங்களை ஷிண்டே குழுவுடன் சமாளித்ததா???,angry
கனமழை காரணமாக புனே நகராட்சி எந்த வகையான விளக்குகளை புனேவில் நிறுவியுள்ளது என்று யூகிக்கவும் - அஜித் பவார்,angry
முகங்கள் தொடங்கிவிட்டன..இப்போது மகாராஷ்டிராவுக்கு தெரியும் குஜராத்தின் கொள்கை எவ்வளவு நல்லது என்று..,angry
ஒரு புகழ்பெற்ற கல்லூரியுடன் அதன் தொடர்பு கல்வி முறைக்கு களங்கத்தை ஏற்படுத்துகிறது,angry
களத்தில் என்ன நடக்கிறது என்பதைக் கண்டறியவும்.,angry
கோபம்… இப்போது அவர்கள் ஏழைப் பெண்ணுக்கு உணவளிக்கிறார்கள்.,angry
அதே பெயர் கொஞ்சம் நடக்குது... குஷிலிக்கு விளக்கம் சொல்ல வந்தான்..,neutral
தைசாஹேப் தூங்குகிறாரா? மகாவிகாஷ் அகாடி வெற்றி பெற்ற அட்டவணை...,happy
அவர் தோர்சேகரின் பக்தர். கடந்த காலங்களில் வாட்ஸ்அப்பில் அதிக அளவில் மெசேஜ்களை அனுப்புவது வழக்கம்.,neutral
சத்ரபதியின் முகத்தில் இன்றும் நல்லகுபேரர்கள் கொள்ளையடித்த கோபம் தெரிகிறது.,angry
ரசிகர்களே இந்த வீடியோவை முதலில் பாருங்கள்...பிறகு பேசுங்கள்.,angry
இப்படி எழுதுவதன் மூலமோ அல்லது பேசுவதன் மூலமோ நீங்கள் அனுதாபத்தைத் தவிர வேறு எதையும் வெளிப்படுத்தவில்லை.,angry
அவர் பெயரை ஏன் படத்திற்கு வைத்தீர்கள் என்று புரியவில்லை.,angry
"மோசமான செய்தி, இந்த விபத்தில் உயிரிழந்த ராணுவ வீரர்களுக்கு பணிவான மரியாதை",sad
ஆனால் இது போல் தெரிகிறது ...,neutral
"அன்புள்ள வாடிக்கையாளரே, சிரமத்திற்கு மன்னிக்கவும், உங்கள் முந்தைய ட்வீட்டுக்கு நாங்கள் பதிலளித்துள்ளோம்.",neutral
எப்பொழுதும் மஞ்சள் புத்தகம் படிப்பது போல் அவர்களிடம் ஆதாரம் இல்லை!,angry
"ஜோடியை சால்வையால் அடிப்பதற்குப் பதிலாக, நீங்கள் அதை முன்னோக்கி அடித்தீர்கள்",angry
இதெல்லாம் கமலாபாயின் கோமாளித்தனத்தால் நடந்தது.,angry
"ஆமாம், நீங்கள் இன்னும் சட்டத்தை நடைமுறைப்படுத்துகிறீர்களா?",angry
நாட்டில் இன்னும் அறிவிக்கப்படாத நெருக்கடி நிலை நீடிக்கிறது,fear
காலம் இப்போது மாறிவிட்டது. இப்போது பெண் குழந்தைகள் இல்லை... இப்போது வேலையில்லாத குழந்தைகள் பெற்றோரின் தோளில் சுமையாக இருக்கிறார்கள்.,sad
இது முரண்பாடாக இருக்க வேண்டும்.,neutral
அது அக்டோபர் மாதம்,angry
இது மிக மோசமானது சார்,angry
துரோகி சட்டமன்ற உறுப்பினர்களை குணமாக்க துரோக கோஷ்டியில் சேர்ந்தாரா?,angry
இது முட்டாள்தனம்...,angry
"ஆம், நடவடிக்கை எடுக்க வேண்டும், ஆனால் அவர் தேச விரோத கோஷங்களை எழுப்பினாரா?",angry
பிம்ப்ரி சின்ச்வாட்டில் கூட... உத்தவ்வும் சேர்ந்தார்... நிறைய அழுதார்.,angry
குறைந்த பட்சம் நடவடிக்கை எடுப்பதற்கான புத்தியைக் கொடுக்க வேண்டும் என்று மோடி ஜியிடம் பிரார்த்தனை செய்தார்.,neutral
"இந்தியா தோற்கவில்லை, இங்கிலாந்து வென்றது",neutral
"உங்கள் பணி ஷிண்டே ஃபத்வார் அத்தை போல் உள்ளது, நீங்கள் மறுப்பு விளையாடுகிறீர்கள்",angry
"கவனம் செலுத்துங்கள், இல்லையெனில் பெரிய பிரச்சனை ஏற்படும்",fear
தகவலை வழங்க விரும்புகிறீர்களா?,neutral
உங்கள் குரேஷி சாஹப்புக்கும் உங்கள் வழிகெட்ட பக்தருக்கும் என்ன நேர்ந்தது...,angry
முன்பே செய்திருக்க வேண்டும் ஆனால் இப்போது இல்லை தோல்வி தவிர்க்க முடியாதது.,sad
"நல்ல சாலைகளில், பொதுமக்களின் கவனத்தைத் தவிர்க்கும் வகையில், கற்கள் தானாகவே வைக்கப்படுகின்றன.",angry
பாஜக சாலையை பிடித்தது,angry
அரசியல் இப்படித்தான் இருந்தது,neutral
மேலும் நாம் அதனால் அவதிப்படுகிறோம்,sad
வேலைகள் இல்லை. அது அவருடைய சதி.,angry
இதையெல்லாம் பார்க்க வேண்டும்,angry
எந்த கட்சி வந்தாலும் சாமானிய மக்களுக்கு எந்த பலனும் இல்லை.,sad
முக்கியமாக உள்துறை அமைச்சர் வேலையில்லாமல் இருக்கிறார்,angry
அஜித் தாதாவுக்கும் பாஜக பதவியேற்றுள்ளது. ஏன் பாஜக துரோகி?,angry
ஹெக்டர் தனக்குத் தெரியாது என்று சொல்கிறாரா?,angry
ட்வீட் என்று நினைத்தேன் அதனால் பதில் வந்தது... மன்னிக்கவும் தோழமையே,neutral
இப்போது கண்ணீரை நிறுத்த முடியாது.,angry
எனக்கு இனி வேண்டாம்,sad
"கத்தியை எடு, அது சரியான செயல்",neutral
இது வரலாறு. மகிமை போய்விட்டது.,sad
ஆட்சியில் இருக்கும்போது வாழைப்பழம் உறிஞ்சும் அமைப்பு...,angry
மேலும் அம்மாவின் தோழியின் முகம் ஏன் கோணலாக இருக்கிறது? நாக்குக்கு அதே பெயர் கிடைப்பது சிரமமாக இருந்தது,angry
தேர்தலில் மக்களை ஏமாற்ற இது ஒரு முக்கியமான காரணியாகும்.,angry
"முழு மகாராஷ்டிராவும் தேவேந்திர ஜியால் பெருமை கொள்கிறது, யார் போலி பத்திரிகையாளர், நம்பிக்கையற்ற பத்திரிகையாளர் என்று நான் உங்களிடம் கேட்கிறேன்.",happy
இது ஒரு மராத்தி கலைஞருக்கு பெருமை சேர்க்கும் விஷயம்.,angry
இது தெரியாமல் மகாராஷ்டிராவில் ஆதிக்க சண்டையில் தேதி கொடுத்து வருகிறார்.,angry
அனைவரையும் பாகிஸ்தானுக்கு அனுப்புங்கள். இப்படிப்பட்ட துரோகிகளுக்கு இந்த நாட்டில் வாழ தகுதி இல்லை.,angry
"வணக்கம், ஏன் சென்றாய்? தடையாக",neutral
"ஆம், அவர்கள் இந்துக்கள், அவர்கள் இந்து வெறுப்பு நிறைந்தவர்கள்.",angry
"பலன்கள் கிடைக்காமல் போனால், திரைமறைவில் அரசியல் செய்து பாஜக நேரடியாக மக்களைத் தூண்டிவிடும் என்றார்.",neutral
"நீ ஏன் பொய் சொல்லக்கூடாது, நீ பள்ளிக்கு சென்றாயா? அவர்களின் கல்வியை இப்போது பறிக்காதீர்கள்",angry
இந்த நபர் முதலமைச்சரை தரக்குறைவான மொழியில் திட்டி உள்ளார். கடும் நடவடிக்கை எடுக்கப்படும் என எதிர்பார்க்கப்படுகிறது,angry
சஹ்யாத்ரி பள்ளி தனியார் பள்ளி என்பதால் தானே மாநகராட்சி தண்ணீர் தொட்டிகளை சுத்தம் செய்வதில்லை.,neutral
"வெற்றி நிச்சயம் இல்லை என, இந்த துரோகிகள் களத்தை விட்டு ஓடுகின்றனர்",angry
"ஒரு கெட்ட கனவுடன் அதிகாலையில் எழுந்தேன், அடுத்த நாள் இப்போது எல்லாம் மகிழ்ச்சியாக இருக்கிறது",happy
"நான் எப்போதாவது சரஸ்பாக் செல்வேன். இப்போது கூட்டம் சத்தம், போக்குவரத்து சத்தம் மட்டுமே வருகிறது.",sad
நீங்கள் பத்திரிகை செய்ய விரும்புகிறீர்களா? அப்படியென்றால் பிட் என்ற பழமொழி ஏன்?,angry
நீங்கள் சொல்ல விரும்புவது வடபாவ் கார்.,angry
தாடி வளர்த்து மோடியாக மாற முயற்சிக்கிறீர்களா? ஆனால் தாடி வளர்ப்பது புத்திசாலித்தனத்தையும் ஞானத்தையும் அதிகரிக்குமா?,angry
"மராத்தி கொலைகாரனாக இருக்காதே, மராத்தியில் வெளிப்படுத்து. எங்களுக்கு இந்த மொழி புரியவில்லை.",neutral
"செமன்யா ஏன் வாலை கட்டிக்கொண்டு உட்கார்ந்திருக்கிறாய், இப்ப பேசாதே.",angry
பலன்கள் சாமானியனைச் சென்றடையவில்லை என்றால் அனைத்தும் பயனற்றவை,sad
எதிர்காலம் நிஜமாகிவிட்டதால் நான் கோபமடைந்தேன்,angry
குழந்தையைப் பார்த்துக்கொள்ளும்படி அவளிடம் கேட்கப்பட்டதில் ஆச்சரியமில்லை... அவளுடைய புராதன ஞானமும் பொது அறிவும் அவளுக்குத் தெரியும்.,neutral
ஐயா ஊழல் அதிகமாகிவிட்டது அதை சரிசெய்யவும்,angry
சாணம் மற்றும் சொந்த சிறுநீரை உட்கொள்ளுங்கள்,angry
கீவ் மற்றும் ஹுசுச் மட்டும் குறிப்பிடும் மேலும் ஐந்து முட்டாள்தனமான ட்வீட்களைப் படித்தால்..,angry
ஜெய்தீப் தாக்கரே யாருடன் இருக்கிறார் என்று சொல்லுங்கள்?,angry
சாந்தா ஷெல் யார் என்று இந்த முட்டாளுக்கு தெரியுமா?,angry
இந்த முட்டாள் மற்றும் முட்டாள் பத்திரிகையாளரால் மக்கள் தவறாக வழிநடத்தப்படுகிறார்கள்,angry
பாலா சாகேப் சிவசேனாவை அவமானப்படுத்துங்கள்.. அப்போது மக்கள் உங்களுக்கு தகுந்த பதிலடி கொடுப்பார்கள்.,angry
புழு போல மெல்ல மெல்ல வெளிவரும் கூழ்...!,angry
கார்த்திகை யாத்திரையின் போது பக்தர்களுக்கு இடையூறு ஏற்படாமல் பார்த்துக் கொள்ள வேண்டும் - மாவட்ட ஆட்சியர் கஜானன் குரவா,neutral
தேசம் பலிகடாவை தோற்கடித்தது என்று முன்பே சொன்னேன்.,sad
வீ ஹாய் ஷு நேனா டை என்கிறாள்,angry
ஃபஸ்னாவிஸும் நானாலா கதர்நாத்தும் மிகச் சிறப்பாகச் செய்திருக்கிறார்கள்,happy
ஓம் சாந்தி என்று கூறி தனது பேச்சை முடித்தார்.,sad
தன்னை விட புத்திசாலி என்று நினைக்கும் கோழைத்தனமான வழக்கறிஞர்.,angry
இப்போது இந்த வதந்தியை பரப்பிய குழுவின் அம்மா அமைச்சராக தாபா ஷிண்டே இருப்பாரா?,happy
என்ன கொண்டு வந்தீர்கள் சார்? அதைப் படித்தபோது மிகவும் வருத்தமாக இருந்தது.,sad
"நஷ்டத்திற்கு பயந்த ராஜ், தாக்கரே மூலம் இந்தத் தொழிலைச் செய்யத் தொடங்கினார்.",fear
"பின்வாங்கி நின்றால் குத்துவிளக்கு திறப்பது உறுதி. வசந்ததா பாட்டீல், யஸ்வந்த ராவ்",angry
என்ன ஒரு மொழி... என்ன ஒரு கலாச்சாரம்!,angry
"பாலா சாகேப் பிரபோதங்கரின் வாரிசு, டோர்சேகர் சொல்வதைக் கேட்காதே, அவன் பெரியவன், அவன் என்ன வேண்டுமானாலும் சொல்கிறான்.",neutral
தாத்தாவுக்கு யோகி ஸ்டைலில் பாடம் கற்பிக்க வேண்டுமா???,angry
"நரேந்திர மோடி நாட்டின் பிரதமர் அல்ல, பாஜகவின் பிரதமர் மட்டுமே. -காங்கிரஸ் மாநில தலைவர் நானா படோலே.",angry
ஐயோ இந்த கோப நரி இன்னும் இருக்கிறதே...இவ்வளவு காலம் எங்கே ஒளிந்து கொண்டிருந்தது,angry
மணீஷ் சிசோடியாவை மோடி அரசு குறிவைப்பது உண்மையில் நியாயமற்றது.,angry
புனித மங்களசூத்திரத்திற்கு எதிராக பைத்தியக்காரத்தனமான மற்றும் காங்கிரஸ் மனப்பான்மை கொண்ட எதிர்ப்பு.,angry
சத்தமில்லாமல் பல கோடி ரூபாய் சம்பாதிக்கிறார்கள்,angry
"ஏய் உபத், அவனுடைய தந்தையின் தரம் இருக்கிறதா?",angry
இப்போது பா.ஜ.க.வினர் எவ்வளவோ தேடியும் அம்பு எடுத்து வெறுங்கையுடன் வந்துள்ளனர்.,neutral
"ஏய் சகோதரர்களே, நீங்கள் மராத்தா மோர்ச்சாவை ஊமை மோர்ச்சா என்று அழைத்தீர்களா?",angry
இது ஒரு மாயை,neutral
சொல்லப்போனால் நான் பூரம்பொலி சாப்பிடுவதில்லை.,neutral
நடக்க விரும்பவில்லை,neutral
அவர் என்னை காயப்படுத்துகிறார்,angry
"அனைத்து பெட்டிகளிலும் டிக் செய்யப்பட்டிருந்தால், நீங்கள் வாக்களிக்க ஆர்வமாக உள்ளீர்களா, ஏன்?",angry
"தண்ணீர் குவியக்கூடாது, நீரேற்றப்பட்ட கெல்ப் வேலை செய்கிறது",happy
இதற்கு மகாராஷ்டிரா மும்பைக்கும் புனேக்கும் அப்பாற்பட்டது என்பதை புரிந்து கொள்ள வேண்டும்.,neutral
ஒர்க் ஃப்ரம் ஹோம் என்றால் ஆபீஸ் வேலையுடன் வீட்டு வேலை... வைத்தகவடி நுஷ்டி,angry
ஒரு நாள் இந்த மேடம்கள் உத்தவ் தாக்கரேவின் சிவசேனாவின் எச்சங்களை நிச்சயம் உடைப்பார்கள்.,angry
ஆனால் ராகுல் காந்தியால் மசூதியில் புல் நேரடியாக வளர்ந்தது. அதை பற்றி????,angry
"மராத்தியில் ஒரு பழமொழி, உடல் என்றால் துணி சுமை என்று பொருள்",neutral
PMC ஐ கேள்வி கேட்க முடியாதவர்களை பற்றி பேசுகிறீர்களா? குழப்பம்,neutral
அதைத்தான் நாம் பணிச்சு (இலை தேள்) என்கிறோம். ஆனால் மக்கள் இறப்பதில்லை.,neutral
இந்த செய்தி சேனல் அதே செய்திதான். எனக்கு சலிப்பாக இருந்தது,angry
இலவச விளம்பரம் பெற யாரோ அவர்களை அழைக்க விரும்புகிறார்கள் என்பது வெளிப்படையானது.,angry
இது ஆக்ஷன் பயத்தால் ஒன்லி ஃபேன்ஸ் நிறுவனர்களிடையே பீதியை ஏற்படுத்தியுள்ளது.,fear
"இந்த வார்த்தைகளை பாக்கெட் பத்திரிகையாளர்களும், கோடி மீடியாக்களும் மறந்துவிட்டதாகத் தெரிகிறது.",angry
See ஆபத்து.,angry
"மேலும் திரு. பவார் காங்கிரசை உடைத்தார், என்ன ஒரு உத்தி.",angry
கொங்கனியர்கள் ரானேவை அவமானப்படுத்தினர்,angry
"இந்த விஷமிகள் மக்களின் உயிரைப் பணயம் வைத்து ஆடம்பரமாக வாழ்ந்து வருவதாகவும், எனவே அவர்கள் அலட்சியமாகச் செயல்பட வேண்டும் என்றும் தெரிவிக்கப்பட்டுள்ளது.",angry
"உலகம் வஞ்சிக்கப்படுகிறது, ஏனென்றால் அது உள்ளே காணப்படுவதில்லை",neutral
இத்தகைய மோசடியான பரிவர்த்தனைகள் உங்கள் கணக்கு இடைநிறுத்தப்படுவதற்கு வழிவகுக்கும்,angry
நீங்கள் அதை ஏன் கீழ் அடுக்கு என்று அழைக்கிறீர்கள் என்பதை இப்போது சொல்கிறேன்,angry
வாயை மூடு..ஏதோ,angry
