translated_comment,sentiment
"During World War II, millions of Jehovah's Witnesses were released from concentration camps and labor camps.",sad
You can see from this list how the works of the forty-four-four - foot - high - foot - high m] wooden love for each other were broken by two weeks!,happy
"It is better to dwell in poverty, than to live in poverty.",happy
"There is one man in the world who is a born man, and another in the world.",angry
Let's have a ball like this!,neutral
"From above thou shalt take the shield and the shield; from the mighty man's hand, and from the mighty man's hand.",angry
"With my wife, let us take a look at each other's needs and see what we can learn from them.",neutral
"It is estimated that by the year 2000, some 1 out of every 5 people are infected with HIV / AIDS, and some 1 out of every 5 people are infected with HIV / AIDS.",fear
They don't like the way they like to be treated.,angry
"You who dwell in the hill country, when you come near to the house of your God;",angry
There's a hole in this shop.,angry
"If you are a parent, do not be overly concerned with your child's well - being.",happy
"You would probably agree that if you were born in the first place, you would have seen a perfect man.",angry
"This book is not part of the Bible, but it is available in whole or in part in over 400 languages.",angry
""" The one walking with the wise will become wise, but the one who has dealings with the stupid ones will fare badly. """,angry
"It will not be late. """,neutral
"As a result, many people lost their sense of urgency.",angry
The Prime Minister's election has now arrived.,happy
You might want to play a game about a game that you don't know,fear
"In the 20th century B.C.E., however, the city was destroyed by the Babylonians and the Romans.",neutral
"He was so impressed by how much he had learned from the Bible that he wanted to learn more about Jehovah, the Creator of the universe and the Creator of the universe.",happy
"Unable to find a way out, I could turn my back on Jehovah. """,sad
It is estimated that more than half of the people in the United States live on less than 10 per cent of the world's population.,fear
"I wasn't on the bus, but the train was so crowded that I didn't know where to go.",angry
Isn't that great?,angry
Whose lawyer is this?,neutral
It's a good question,neutral
"This is not the end of the world, nor is it the end of the world.",sad
Don't lie about us.,neutral
You have to turn the clock off.,neutral
You can be sure that Jehovah will bless your efforts to preserve your child's health,angry
What Is This?,neutral
Let's read and study.,neutral
"Thou shalt not build the house of thy kingdom for ever: but for thy son, which is the kingdom of thy kingdom.",angry
There's no time there,neutral
You need to be kind to others [ Picture Credit Line on page 2] A good way to express your feelings is to share your feelings with them,neutral
"With my wife, my older brother, who was six years old",happy
It's a good number,neutral
The father can write down the letters!,happy
Reading with your children. - Prov.,happy
"Whether to write or to write letters..., to write letters, to write letters; to write letters; to write letters; to write letters; to write letters; to write letters; to write letters; to write letters; to write letters.",happy
"When you go home, I'll find you again, but you won't go there again",fear
"After a few minutes and then a week and a half later, we were on our way to São Paulo to find out what happened.",angry
List of villages in Rahata taluka of Ahmednagar District in Rahata taluka,neutral
"If you're ready to go, you'll get angry.",happy
What about the billions of people who have lived in the past but who have died without the hope of living forever on a paradise earth?,neutral
Don't get so angry that you don't get so angry.,angry
"So take your child's place, and go to the place where he wants to go.",neutral
The lake was empty.,angry
"The next day, we were assigned to work in the Service Department, where we served in the Service Department.",neutral
"Go ye therefore unto them that gather themselves together, and cast a stone upon them; and cast a stone upon them;",neutral
"And it shall be, when a man shall make an atonement for his brother, and shall do his pleasure which he hath done, that it shall be well with him.",happy
"In the United States, the number of students increased by 40 percent!",angry
"▪ According to a survey carried out by the United Nations Children's Children's Health Organization (FIC) in 2005, ""it has been estimated that people of all ages have no interest in the Bible. """,angry
"For example, if you are a single parent, you may be able to help your child to see that he or she is not interested in spiritual things.",neutral
"After some time, my wife and I got married, and we moved into the full - time ministry.",angry
""" You don't have to be anxious about what you don't have....",sad
He wants to talk to us about this issue!,neutral
"Among these are ""the works of the flesh, """" the fruitage of the spirit, "" and ""the fruitage of the spirit. "" This fruitage is closely associated with the fruitage of God's spirit, which is closely associated with the fruitage of God's spirit.",happy
You've never seen anything like that.,fear
"As we shall see in the next article, this is the first time we're going to have a baby, we're going to have a baby, and we're going to have a baby, but we're not going to have a baby....",neutral
And next unto them he dwelt at Jerusalem: and after him he dwelt in Jerusalem.,neutral
True Christians are not immune to the world's problems of this world; nor do they take sides with the world's spirit.,angry
"The problem is, not a question, but a question - and - answer discussion.",sad
"My beloved king, my beloved, my beloved, my beloved, my beloved, my beloved, my beloved.",sad
"In his letter to the Romans, Paul wrote: ""I handed on to you, among the first things, that which I also received, that Christ died for our sins according to the Scriptures; and that he was buried, yes, that he has been raised up the third day according to the Scriptures; and that he was buried, yes, that he has been raised up the third day according to the Scriptures.",angry
Did you bring an egg to the bank?,sad
It is the government's government that will rule over the whole earth.,neutral
Thank you very much for the privilege you have in the full - time ministry.,happy
"* Of course, if you are a parent, you need to make sure that your child reaches out to your child's age age age.",fear
Unable to answer the baby's phone number.,neutral
"The price of oil should be great, and the price of oil should be great.",fear
"At first, I didn't know what to do, but I didn't know what to do.",angry
Will this really happen?,fear
"The light shall shine in the day of vengeance; and as the day of darkness, so shall it be also in the day of vengeance.",happy
Don't watch for the state of the village. Don't watch for the state of the village.,neutral
"By the end of the day, the gates of the house were opened, and the doors of the house were opened",neutral
Many young people have found it hard to understand what the Bible says about the subject of sex before marriage.,angry
"Why is it that Martin Luther King led the U.S.A.? He wasn't the only man who ever lived in England, and he wasn't the only man who ever lived in England.",angry
"The Bible says: ""The world is passing away and so is its desire, but he that does the will of God remains forever. "" - 1 John 2: 17.",fear
"And they shall bring forth the children of the people, the children of the captivity, the children of the captivity, every man with his household, into the land which is called by name.",neutral
"Yes, we will see the time when we will see the end of the world forever!",fear
Couldn't find a solution to the problem at a given moment.,neutral
The sixth captain for theth month of talk was prince of the tribe of the children of Ephraim by their families: and in his division were twenty-four thousand.,angry
"What can we learn from Jesus ' illustration of the sower who sleeps on the night of Nisan 14, 33 C.E.?",neutral
It is estimated that only two thirds of the world's population live on less than one third of the world's population.,sad
"For example, in the United States, more than half of those who believe that there is a God who does not care about us.",neutral
"As a result, the police refused to let the Witnesses know that they were Jehovah's Witnesses.",angry
I'd like to play the game after school.,neutral
"I was born in India, and I was born in India.",happy
Which village is the capital of India?,neutral
"In his book Humanity - A History of the World, historian J. C.",happy
""" There will come to be plenty of grain on the earth; on the top of the mountains there will be an overflow. "" - PSALM 72: 16.",neutral
"According to The New York Times of January 15, 2000, a study found that ""the most common cause of deaths in the world is that the death of a loved one may be the result of the death of a loved one. """,angry
There is a difference between what we want and what we want to do.,sad
I'd like to talk to my friends all the time. But I've learned to sing with a lot of friends.,happy
Our train station was built on a mountain at the time of the meeting,neutral
How much better it is to get to know people of all nations around the world who have come to see the end of this wicked system of things!,sad
This is the place for us to enter into God's rest!,happy
"It is not easy to get sick, but it is a real challenge for you to get along well with your mate.",neutral
This is going to happen.,fear
"And it shall come to pass, when the king shall hear it, that he shall do according to all that he hath done, and according to all that he hath done, and according to all that he hath done,",sad
"Think of it as a gift from God, a gift from God that makes it possible for us to have a close relationship with him",neutral
"He loved his Father. He loved the world so much that he gave his only - begotten Son, in order that everyone exercising faith in him might not be destroyed but have everlasting life.",sad
"But as for thee, thou art my sister, O my son, and thy son's son's son's son,",angry
This is the first time I've ever seen it.,neutral
"If so, you are to be commended.",sad
My parents are now in their mid - 50 ' s,sad
It is best to make sure that the quality of the process is well - known,happy
Do you believe in religion?,angry
"At that time, there was an increase in the number of Kingdom publishers in the whole country.",happy
There are two differences in opinion.,neutral
The population of India's population is increasing in over 100 million dollars!,fear
Is it wrong for prejudice to be conquered by prejudice?,angry
And there was a number of letters written by him for a while.,angry
Why can we be confident that Jehovah will care for us?,sad
"The children of Besai, three hundred forty-two.",happy
"The children of Moab, the children of Ammon, the children of Ammon, the children of Ammon,",happy
There's nothing wrong with it.,neutral
""" You don't have to agree with your parents ' advice, "" she says, ""but you don't have to agree with what they say....",angry
"For example, in the United States, more than half of those who claim to be followers of Christ do not accept the Kingdom message.",neutral
"It's hard to know how to learn English, but it's hard to learn it.",happy
It's better to go home than it's time.,neutral
Why is that so? Why is it vital that we keep on the watch?,sad
"In the United States, for example, there are over half the world's largest cities in the world.",neutral
"Howl, ye inhabitants of Zion! for the day of battle is near: it is near, and there is no strength in it.",fear
Have you ever had sex with a woman who had sex with a man who had sex with a prostitute?,angry
"Among these are: ""We will go with you people, for we have heard that God is with you people. "" - 1 Corinthians 13: 4, 5.",happy
Love doesn't grow cold.,sad
"After the talk, the speaker showed how the convention program was conducted, and the speaker showed interest in the Bible's message.",happy
"In time, though, he did become bitter.",angry
"Thank you very much for being a source of encouragement to us! """,happy
The country will be divided into two parts.,sad
The other two of you are in a hurry to take a stand for true worship....,neutral
Will the United Nations ever be able to eliminate poverty?,sad
"When the mother takes the child to the door, then the baby will begin to cry again before the baby's birth, and then the baby will be brought back to its mother's home.",sad
"Don't trust in him, for he will be with you, and you will be his servants.",happy
"The Jerusalem Bible states: ""In the morning sow your seed and until the evening do not let your hand rest; for you are not knowing where this will have success, either here or there, or whether both of them will alike be good. """,sad
How did the work affect the first - century governing body?,neutral
We know that there's a lot of people in this country who want to know the truth about God's Kingdom.,angry
The village of Begusim was part of a village in Rahata taluka of Ahmednagar district in the Indian state of Maharashtra.,angry
"By the end of the second century B.C.E., King Henry I of England had become a governor and a judge in the European Court of Human Rights.",neutral
"There is a time when it's going to be three months old, but it's not going to go as long as it's going to be.",happy
The World Health Organization has established a list of health problems that affect the rest of the world.,angry
It's a little cold now.,neutral
"He wrote: ""The name of God is being blasphemed among the nations because of the use of God's name, and because of the use of God's name, the name of God is being declared throughout the earth. """,neutral
"Have you ever wondered if there's been such a thing? Or do you think there's been such a thing as ""I'm sorry,"" or, ""I don't know.",angry
"The program was presented at a Kingdom Hall in Cedar Point, Ohio, U.S.A., at a convention in Cedar Point, Ohio, U.S.A.",neutral
"What a relief it is to know that ""Jehovah is near to those that are broken at heart; and those who are crushed in spirit he saves ""!",sad
This is not to say that there is no justice in the country.,sad
I'll be with him.,angry
Will this government be replaced by a government?,sad
The power adaptor to the operation of the operation,neutral
""" A mere lover of silver will not be satisfied with silver, neither any lover of wealth with income. """,angry
Who's watching?,neutral
There's nothing left to stop,angry
It's already a student's time to go to bed after week.,sad
"In the United States, for example, there are over half a million red blood cells, including red blood cells, such as red blood cells, such as red blood cells, such as red blood cells, white cells, and red cells.",happy
"In some lands, it is said that women are expected to marry ""only in the Lord, "" that is, to marry"" in the Lord. """,angry
"And thou shalt make it to be for the silver, and for the gold, and for the scarlet, and for the scarlet.",happy
"If you face a similar situation, ask yourself: "" If I were in a position to give a witness about Jehovah's Witnesses, how would I react?",fear
We have a lot to do with the Lord's Evening Meal.,sad
You may also be able to travel by bus or by bus or by bus or on foot or on foot.,fear
Their car has been broken.,neutral
Is this really the case?,neutral
"Among other things, however, it was thought that the only way to become a tree that was cut off from the soil was to be cut off from the surface!",neutral
"There is no covenant between me and you, between me and you, between me and you and your seed.",happy
"And it shall come to pass, that in the day of their visitation they shall cast their young ones into the midst of the fire.",fear
"The annual meeting of the Watch Tower Bible and Tract Society of Pennsylvania will be held on October 7, 2000, at the Assembly Hall of Jehovah's Witnesses in New York City, U.S.A.",neutral
The package name has been changed,neutral
"It's very difficult to know what it's going to be, but it's so late!",neutral
"[ Picture Credit Line on page 2] COVER: On the way home from the dead, where the dead are raised, the dead are raised, and the dead are raised",sad
"And it came to pass, when his brethren were come out of the city, that, behold, he was in the field,",fear
"In the United States, according to the World Health Organization, it is said to be one of the most common causes of deaths in the world.",angry
You can be sure that he will listen to you if you ask him to give you a copy of the book Knowledge That Leads to Everlasting Life.,neutral
The kings of the land would not want to take a stand for pure worship,neutral
Something has happened to them,angry
I'm a little girl. I'm a little girl.,neutral
What are you saying in your own speech? What do you think?,neutral
See the book What Does the Bible Really Teach? published by Jehovah's Witnesses,angry
The pure language is spoken in two languages,angry
"And it came to pass, when the children of Israel were strong, that they spake unto the children of Israel, saying,",happy
"For example, the Awake! is the most widely distributed book in the world!",fear
"At the international convention in New York City, it was announced that there would be an increase in the number of Kingdom publishers in Mexico City.",happy
"It is true that many who live according to the standards set out in God's Word live by the standards found in God's Word, the Bible.",angry
"A report from the United States stated: ""It is estimated that more than half of the people in the United States are infected with HIV / AIDS. """,angry
"In the United States, for example, a large number of people who live in the city of São Paulo have been forced to flee from their homes because of fear of man.",fear
"And it shall come to pass, that, when he had made an end of speaking, he would not see it.",sad
Do you appreciate what you are trying to do to improve the quality of your life?,angry
"And it shall be, if it be a day, that I will call unto the name of the LORD:",happy
"As soon as the party was formed, the government banned the activities of Jehovah's Witnesses and banned the activities of Jehovah's Witnesses in Canada.",angry
Take a few minutes to think about your future,angry
Have you ever ironed your clothes?,neutral
Doesn't this mean that you don't know what to do?,neutral
There is no better way to find happiness than to live a life of crime!,neutral
"They gave me some flowers, but I couldn't afford them.",neutral
"During World War II, war broke out in Europe during World War II",sad
"This is not to say, of course, that God's Kingdom is a real government that rules the world.",angry
"Wasn't it from the sea, and wasn't it from the sea, and wasn't?",angry
It's a wrong to say something like this.,angry
It was a year ago.,happy
"The works of the eye are wonderful, but they are wonderful examples for us. "" - 2 Corinthians 4: 3, 4.",happy
Infections can cause disease and heart disease,angry
"Parents, help their children to see more about the way the असे of their children may be used to. Help the children to see how the parents can teach their children to be more effective in the field service and how they can help teach their children to be more effective teachers of God's Word.",happy
It's been six months since I've got back at 6: 00 a.m.,sad
"They are animals! They are very small, but they are very small, but they are very small.",happy
""" I'm so grateful for what I've been reading! """,happy
Let's do it this way.,fear
"(For fully formatted text, see publication)",happy
"In the United States, for example, a survey conducted by the Supreme Court of Canada in 2005 revealed that there was an increase in the number of police officers in the United States during the 1960 ' s.",neutral
"Mary's birth on October 19th, and the birth of the Memorial of Christ's death by means of the resurrection from the dead",neutral
It's very difficult to say something like this.,neutral
Did it rain when the rain began?,happy
"Sing to our loving God, for he is good; for his loving kindness endures forever.",happy
The eagle's wings are like that of a bird.,sad
"This is what God wills, that you abstain from fornication, from fornication, from sexual immorality, from fornication, from sexual immorality, from sexual immorality, even from sexual immorality.",neutral
"The power of God's Word, the Bible, and the courage to bear witness",neutral
"It is not easy to understand why many people in the world turn their backs on God's Word, the Bible.",happy
"In his letter to the Hebrews, Paul wrote: ""Let us consider one another to incite to love and fine works, not forsaking the gathering of ourselves together, as some have the custom, but encouraging one another, and all the more so as you behold the day drawing near. """,neutral
"Why not learn more about the Bible and how you can draw closer to its Author, Jehovah God, and how you can draw close to him?",happy
"And by him were the chief officers according to their service, by the house of their fathers, by the house of their fathers, every one according to his service.",happy
Getting to know right from wrong is a matter of choice,angry
Make sure that you have enough time to get used to the fire,angry
Your name has been changed.,angry
"It is estimated that by the year 2001, the number of Jehovah's Witnesses has increased by 26 percent.",neutral
"By the end of the 19th century, London had become the largest city in the world, and it was the world's largest city in the world.",neutral
"Mumbai was divided into six major cities, and the most important capital city in the world was Mumbai, and the largest city in India was Mumbai.",neutral
"In the United States and other countries, it is common to see the Chinese people being affected by such diseases as malaria, malaria, and Latin America",happy
"The psalmist David wrote: ""The righteous themselves will possess the earth, and they will reside forever upon it. "" - Psalm 37: 11, 29.",angry
There is no reason to be anxious about what life will be like in the new world.,sad
"The Bible says: ""The one walking with the wise will become wise, but the one who has dealings with the stupid will fare badly. """,sad
Don't go into captivity in the city.,angry
"I am so grateful to Jehovah that I did not give up on myself. """,neutral
The village is not in the state of Maharashtra,happy
You are responsible for what you have done,neutral
I want a little honey!,happy
"The coconut is known for its healing process, since it has been used for its healing power",happy
Is used to notify that the image has changed,neutral
"In ancient times, the Israelites were commanded: ""You must love Jehovah your God with your whole heart and with your whole soul and with your whole mind. """,sad
Isn't this the case? Isn't this the case?,sad
"In time, he became a ministerial servant and a ministerial servant in the congregation.",neutral
"When I looked at the starry heavens, I realized that there was a light in the sky, but I couldn't understand its meaning.",happy
"And thou shalt bind them up upon thine own head, that they may rejoice over thee: and thou shalt cause them to rejoice over thee, and shalt cause them to rejoice over thee.",happy
You're going to win the game.,fear
• Why is it vital that we keep our eyes fixed on Jehovah? • How can we keep our eyes fixed on Jehovah?,sad
"As per 2011 census, population of villages was formed in Maharashtra. A number of villages in the state of Maharashtra were built.",happy
Does my father really care about my children?,angry
"In fact, many false prophets were killed by the king of Babylon's army because they refused to listen to the voice of Jehovah's prophets.",angry
He was born in a small village in the United States. He was raised in a family of Jehovah's Witnesses and grew up in a family of Jehovah's Witnesses.,angry
"He said to them, ""You have heard of many things that you didn't know,",sad
She will never forget the kind of life she has ever been able to share in the full - time ministry,sad
The command to make disciples is given to all who desire to know what it means to be baptized in the name of the Father and of the Son and of the holy spirit,neutral
Everything is done by all people.,sad
Isn't it true that there's a train today?,neutral
What can we learn from this?,neutral
A person who is proud to be a victim of injustice should be disfellowshipped from the Christian congregation.,angry
"You can't be equaled with all the kings of the world,",angry
"How good and how pleasant it is to know that ""the eyes of Jehovah are toward the righteous ones, and his ears are toward their cry for help ""!",happy
. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,neutral
It's a real problem,neutral
"The first century C.E. drew attention to Jesus ' first - century followers, who lived near the end of the first century C.E.",angry
God sent his only - begotten Son to the earth to be born as a human on earth,neutral
Day of the new moon: Day of the new moon:,neutral
"As we share the Kingdom message with others, we can be sure that we will be well - acquainted with the message found in God's Word and in the publications of ""the faithful and discreet slave. "" - Matthew 24: 45 - 47.",happy
"The next time we get up, we'll have to go to sleep.",sad
The film was used to show the film all day long.,neutral
The United States is the world's largest and most prosperous world power. It is the world's second - largest and most powerful world power.,happy
We have had the privilege of helping many to come to know Jehovah!,angry
This display is being created for the best use,sad
"No more will a fire come down from heaven, but it will go out of its place forever and ever. "" - Isaiah 40: 26.",neutral
"Yes, it is vital that we keep busy in the Kingdom - preaching and disciple - making work so that we do not lose sight of the fact that we are living in ""the last days "" of this wicked system of things. - 2 Timothy 3: 1.",sad
"Not long after our wedding, we were invited to serve at the world headquarters of Jehovah's Witnesses in Brooklyn, New York, U.S.A.",sad
"'Don't be afraid, for I am with you.' 'Don't be afraid.'",fear
There was no escape from the execution of Jesus Christ's followers.,sad
"Judah and the inhabitants of Jerusalem will be gathered together. The thing will happen, that everyone who is left in it will be cut off from it.",neutral
Unable to back it! Let's say yes!,neutral
Cret in front of your eyes all the days until the arrival of the Lord's Evening Meal.,angry
This is the second best thing in the story.,sad
"You are going to have a friend, a friend, a friend, and a friend.",sad
It is also common for parents to use their tongue in the same way that children learn to use their tongue when they speak to their children.,sad
What do you think? Is it right to talk to your friend about sex?,happy
"Don't enter into the house of the thief, nor go into the house of the thief,",neutral
"In some lands, it is common for people to gather together for a meal or for a meal to gather for a meal or for a meal.",neutral
It is believed to have been the largest city in India during the 1960 ' s and early 1940 ' s and early 1940 ' s.,angry
""" If you don't know what to do in the morning, you're going to break down on your bed....",neutral
These are the names of his sons who were slain by him: all these were the mighty men of war.,angry
The price of bread is less than two times a day and a half a day.,sad
"With fellow feeling, I am grateful to Jehovah for helping us to endure in our assignment",happy
"When I was young, I had a friend who said, ""I want to be close to you """,neutral
"Turn to the right hand, and don't be far from the left.",neutral
The police and the police are not able to give the police a chance to catch the police.,happy
"There is nothing covered with that which you don't see.""",angry
"You know that your life is short, and your life is short....",neutral
The Romans fought for the war.,happy
Is this a history?,neutral
"In some parts of the world, it is the custom to have sex before marriage.",angry
They did not find any way out.,angry
"Poverty, poverty, poverty, poverty, poverty, and poverty are common in the world",angry
What a happy time that will be!,neutral
"You just don't live with your parents, aren't you?",angry
"The children of Dan shall be at ease, and their faces shall be as the eyes of doves.",happy
"It is estimated that by the year 2000, more than half of the people are infected with HIV each year, reports the Times of London.",angry
The black lion drank a black lion.,happy
The light of the righteous is like the burning of a fire: but the root of the wicked shall perish.,happy
My mother was very impressed with my mother's fine conduct.,sad
We give an account of the way we are treated by the law in the law.,happy
Today's War is over 2 billion years old,happy
Have you ever been to India?,angry
"And it came to pass, when he had made an end of speaking with his mother in law, that he took a piece of wine out of his hand, and gave it to his mother in law,",happy
We don't have enough food to drink at night,neutral
This is our God.,happy
Don't be as though I were in Northern Ireland!,happy
I don't know what to say,angry
What a relief that will be!,happy
"Other lands, such as the United States, the United States, the United States, the United States, the United States, the United States, the United States, the United States, the United States, the United States, the United States, the United States, the United States, and the United States.",angry
"That's all I want to do now. "" That's exactly what I want to do.",sad
It was the first day of the convention,neutral
There's a long red hole there.,neutral
"Make sure that you understand what the Bible says about the condition of the patient is, not how much you know about the condition of the patient, but how you feel about it, and how you feel about it.",happy
"What a relief it is to share in this work, and what a privilege it is to be part of that worldwide organization!",happy
Some names in this article have been changed.,angry
The end of the present system of things is coming!,happy
"The first day of the convention is held at Yankee Stadium, New York, at Yankee Stadium, U.S.A.",neutral
So why do you want to talk to your children about sex?,angry
The United Nations ruled over the world's beginning.,sad
"But if a man say, I have a sin against the LORD. And they say, Thou shalt not commit adultery.",neutral
How much better it is to be aware of the timing of the end of this system of things than to see the end of this system of things!,angry
Is it possible for a man to go into the field by himself? Or is it time for him to go up to the hill country of Ephraim?,angry
"It is estimated that by the year 2003, the number of stars in the world had increased by more than half of the earth's population.",happy
"There's a lot of fun, but there's a lot of fun.",happy
We can be sure that he will help us to endure and that he will deliver us from Satan's efforts to break our integrity.,happy
"Don't be afraid of the things which are spoken through you, or of the things which are written in your book.",angry
Is there any real hope for the future? No.,sad
%lu not fully installed.,happy
"A baby is born in a mother's womb before birth. A baby is born into a mother's womb, and the baby is born into a mother's womb.",angry
What language is spoken in many languages?,neutral
"On the other hand, there are many ways that we can keep our eyes on the prize.",neutral
"An article in The Times of London stated: ""It is very important to have sexual relations outside of marriage between two people who are not married to each other. """,angry
"The apostle Paul wrote: ""Do not be anxious over anything, but in everything by prayer and supplication along with thanksgiving let your petitions be made known to God; and the peace of God that excels all thought will guard your hearts and your mental powers by means of Christ Jesus. "" - Philippians 4: 6, 7.",neutral
There's no time left to laugh. It's just a good game.,sad
It's really good for you to go to the doctor if you don't know what to do.,angry
Is there a friend who is always ready to help?,angry
"It's very cold, but it's very cold, but it's very cold.",happy
"The harvester doesn't know how to plant and harvest, but he doesn't know how to plant, and he doesn't harvest.",sad
"Unable to create cards from time to time, but it doesn't work",neutral
A house built to the roof of the roof of the house,neutral
"Oh, it's here!",happy
