text,label
માને [ghano] છિંતા આને દર આને ભય લાગાય છે.,fear
આ ગલાત વા્યવહાર આને ધોખો માને ક્રોધ [apave] છે.,angry
મારો test report normal છે.,neutral
આજે મારો તાનાવ બિલ્કુલ ઓછી થાયો છે.,happy
માને [ghano] [gusse] આવે છે આ ગલાત વા્યવહાર થી.,angry
report સારો આવ્યો માને [ghani] ખુસી છે.,happy
આ દાવા બિલ્કુલ ગલાત છે માને [ghano] નારાજ કરે છે.,angry
માને [ghano] અંસંતોસા છે આ હોસ્પિતલ ના વા્યવહાર થી.,angry
મારો જીવન મા આનંદ આવ્યો છે.,happy
મારો રોગ ઉપછાર [agla] ચાર મહિના ચાલ [se].,neutral
મારો પરિવાર મા [ghano] કાસ્ત આને દુખ છે.,sad
મારો check up આને blood test normal છે.,neutral
આજે માને [aanandno] અનુભવ છે.,happy
માને મારો રોગ ગંભિર થાય છે તે [ni] [ghani] છિંતા છે.,fear
ડોક્તર ને [kahyu] કે રોગ ગંભિર છે માને દરાયો થાયો.,fear
ડોક્તર ના ગંભિર જવાબ થી માને ભય આને દહ્સાત લાગી.,fear
મારો રોગ ના લાક્ષન [vdhare] થાયા છે.,sad
આ રોગ ના લાક્ષન છે મહિના થી છે.,neutral
માને સુખ આને શાંતિ છે.,happy
હું હારી આને [asahay] છું.,sad
હું આજે [ghano] [asahay] છું.,sad
હું નિરાસ આને ઉદાસ છું.,sad
માને online સેવા થી [koi] મદદ નાથી થી.,sad
માને [koi] મદદ નાથી [madti] આને માને ક્રોધ આવે છે.,angry
આ ગલાત [kam] માને ક્રોધ [apave] છે.,angry
ડોક્તર ને મારો weight આને blood pressure check [karya].,neutral
આજે મારો રોગ ગાયો લાગાય છે.,happy
મારો દિલ આનંદ થી [nacho] છે.,happy
મારો રોગ ના કારને [ghani] મુસ્કેલી આને દુખ છે.,sad
મારો જીવન મા ઘનું અંધારું છે.,sad
ડોક્તર ના લાપરવાહી આને ગલાત ઉપછાર થી માને ક્રોધ આવ્યો.,angry
મારો સ્વાસથ્ય ગંભિર છે માને દરો લાગાય છે.,fear
મારો ભાવિષ્ય આને જીવન [ni] છિંતા છે.,fear
મારો test કાલ ડોક્તર ને report મોકલાવો પદ્સે.,neutral
આ દાવા માને વાગદે <function j at 0x000001AC201436A0> નાથી.,angry
મારો જીવન [ni] છિંતા માને દરાવે છે.,fear
મારો જીવન મા ઘનું દુખ આને પીદા છે.,sad
આ ઉપછાર બિલ્કુલ ગલાત છે.,angry
આજે report સારો આવ્યો.,happy
માને [ghano] ભય લાગાય છે આ મુસિબત થી.,fear
આ સેવા મા ડોક્તર સાથે video call કરી [shakay] છે.,neutral
મારો operation [ni] તાિયારી પુરી થાયી છે.,neutral
હું દિન મા ઘનું પાની આને juice [pu] છું.,neutral
માને ખુબ સારો [feel] થાય છે.,happy
માને [ghano] ક્રોધ આને નારાજ આવે છે.,angry
હું આજે [ghano] છિંતિત છું મારો report [ni] છિંતા છે.,fear
હું આજે [ghano] છિંતિત છું મારો report [ni] છિંતા છે.,fear
આજે હું મારો પરિવાર સાથે ખુસી મા છું.,happy
માને [ghano] દરદ આને કાસ્ત થાય છે.,sad
ડોક્તર ને [kahyu] કે રોગ ગંભિર છે માને દરાયો થાયો.,fear
મારો જીવન મા દુખ આને પીદા છે.,sad
મારો સાપનો તુત્યો [gaya] છે.,sad
આ ધોખો આને અંન્યાય થી માને ક્રોધ આવ્યો.,angry
માને આ સેવા ઘનું ઉત્તમ આને ઉપકારાક લાગે છે.,happy
માને [ghani] રાહત થાયી.,happy
માને [ghano] ભય છે આ બિમારી થી.,fear
આ e-consult સેવા ઘનું ઉપકારાક છે.,happy
મારો પરિવાર મા [ghano] દુખ આને ઘામ છે.,sad
માને આ સેવા ખરી મદદ કરી છે.,happy
હું આજે [ghano] [gusse] મા છું.,angry
આજે માને [aanandno] અનુભવ છે.,happy
માને આ સેવા ઘનું પસંદ છે.,happy
માને [ghani] રાહત થાયી.,happy
મારો પરિવાર મા [ghano] સંતાપ આને દુખ છે.,sad
ડોક્તર ના ઉપછાર થી [koi] ફાયદો નાથી થાયો.,angry
માને આ portal ને કારને ડોક્તર [milya].,happy
હું [ghano] [gusse] મા આને આસાંત છું.,angry
આજે ઘનું સારું લાગે છે.,happy
માને [ghano] દર લાગાય છે મારો પરિવાર [ni] છિંતા છે.,fear
મારો test report normal આને થીક છે.,neutral
મારો જીવન મા દુખ છે.,sad
હું [ghano] [gusse] આને ક્રોધ મા છું.,angry
online સેવા ઘનું [sukhe] મદાવ મેલ્વી.,happy
માને આ સેવા ને કારને [ghano] ફાયદો થાયો.,happy
માને હોસ્પિતલ નિયમ પ્રમાને test [karavanu] છે.,neutral
મારો જીવન [ni] છિંતા માને દરાવે છે.,fear
ડોક્તર ને ઘનું ધાન્યાવાદ.,happy
મારો જીવન મા ઘનું દુખ આને કાસ્ત છે.,sad
આ online સેવા સુભાહ નાવ વાગે થી [sharu] થાય છે.,neutral
આ દાવા [khava] પહેલા ખાધ્યું લેવો.,neutral
મારો operation [ni] તાિયારી ચાલ છે.,neutral
આ રોગ ના લાક્ષન છે મહિના થી છે.,neutral
મારો જીવન [ni] આને પરિવાર [ni] છિંતા માને ગાભરા્યો છે.,fear
માને [ghano] સંકાત આને મુસિબત આને ખત્રો આને આઘાત નું દર લાગાય છે.,fear
મારો જીવન [ni] આને પરિવાર [ni] છિંતા માને ગાભરા્યો છે.,fear
ડોક્તર ને [kahyu] કે રોગ ગંભિર છે માને દરાયો થાયો.,fear
માને [ghano] અંસંતોસા આને નારાજ આવે છે.,angry
હું હારી આને નિરાસ છું.,sad
માને [ghano] ક્રોધ આવે છે આ નિર્દયી વા્યવહાર થી.,angry
આ online સેવા સુભાહ નાવ વાગે થી [sharu] થાય છે.,neutral
માને [ghano] ક્રોધ આને [gusse] આવે છે.,angry
મારો પરિવાર મા [ghano] કાસ્ત આને નિરાસા છે.,sad
મારો રોગ સારો થાયો છે.,happy
આજે હું મારો પરિવાર સાથે ખુસી મા છું.,happy
હું [ghano] [gusse] આને ક્રોધી છું.,angry
માને [ghano] દરો લાગાય છે મારો રોગ ગંભિર છે.,fear
આ portal બિલ્કુલ કામ નાથી કરતો.,angry
મારો સંકાત આને મુસિબત [ni] છિંતા માને વ્યાકુલ કરે છે.,fear
માને આજે online appointment લેવી આને ડોક્તર સાથે વાત કરી.,neutral
માને [ghano] ઘામ આને પીદા છે.,sad
માને આજે ડોક્તર ને online મિલ્વું છે.,neutral
ડોક્તર ને ઘનું ધાન્યાવાદ.,happy
હું આજે [ghano] છિંતિત છું મારો report [ni] છિંતા છે.,fear
મારો રોગ report આવે આને તે ગંભિર હોય તે નું દર છે.,fear
online સેવા ને કારને ઘર બેથા ઉપછાર મદ્યો.,happy
મારો ભાવિષ્ય આને જીવન આને પરિવાર [ni] છિંતા માને દરાવે છે.,fear
E-consult થી ઘનું ફાયદો થાયો.,happy
ડોક્તર ના instruction પ્રમાને રોજ exercise [karu] છું.,neutral
આ દાવા બિલ્કુલ ગલાત છે માને [ghano] નારાજ કરે છે.,angry
માને [ghano] છિંતા આને ભય આને દર આને ત્રાસ લાગાય છે.,fear
મારો રોગ [ghano] ગંભિર છે.,sad
માને ડોક્તર થી [ghani] મદદ થી છે.,happy
ડોક્તર ને [kahyu] કે રોગ ગંભિર છે માને દરાયો થાયો.,fear
મારો આરોગ્ય [sudhri] રહ્યો છે માને આનંદ છે.,happy
હું [ghano] નારાજ આને ક્રોધી છું.,angry
હું ખુબ થાકેલી આને નિરાસ છું.,sad
હું [ghano] [gusse] મા આને આસાંત છું.,angry
મારો રોગ ખત્રો [nak] લાગાય છે માને ભય લાગાય છે.,fear
મારો સાપનો તુત્યો [gaya] આને હું દુખી છું.,sad
હું [ghano] આસાંત આને ક્રોધી છું.,angry
માને [ghano] ઘામ છે.,sad
ડોક્તર ના લાપરવાહી આને ગલાત ઉપછાર થી માને ક્રોધ આવ્યો.,angry
મારો test result [aavata] <function j at 0x000001AC201436A0> ડોક્તર ને જાનાવનું છે.,neutral
માને ડોક્તર ને મિલ્વા નાથી મદ્તું.,sad
હું આજે [ghano] ગાભ્રાયો આને છિંતિત આને દરો છું.,fear
માને આ online સેવા ઘનું ઉત્તમ લાગે છે.,happy
માને આજે blood test [karavu] પદ્સે.,neutral
હું બિલ્કુલ થીક આને સ્વાસથા છું.,happy
ડોક્તર ને મારો લાક્ષન આને report જો્યા આને ઉપછાર [shuru] કર્યો.,neutral
online સેવા ઘનું [sukhe] મદાવ મેલ્વી.,happy
માને ડોક્તર ને [biji] વાર મિલ્વા [kahyu] છે.,neutral
હું આજે [ghano] ક્રોધી છું.,angry
હું આજે [ghano] ગાભ્રાયો આને છિંતિત આને દરો છું.,fear
પરિવાર સાથે મિલ્વા થી ખુબ આનંદ થાયો.,happy
આ દાવા [khadhya] પાછી લેવી.,neutral
માને [ghani] તકલીફો આને દરદ છે.,sad
આજે હું બિલ્કુલ ખુશ આને સ્વાસથા છું.,happy
માને આ અંન્યાય થી [ghano] ક્રોધ આવે છે.,angry
માને [ghani] વેદના આને તકલીફ થાય છે.,sad
માને [ghano] ભય લાગાય છે મારો જીવન [ni] છિંતા છે.,fear
મારો સંકાત આને મુસિબત [ni] છિંતા માને વ્યાકુલ કરે છે.,fear
આ ગલાત વા્યવહાર આને ધોખો માને ક્રોધ [apave] છે.,angry
હું આજે ખુબ હાલ્કું અનુભવ [karu] છું.,happy
માને [ghano] ક્રોધ આને [gusse] આવે છે આ [dhokha] થી.,angry
માને [ghano] ભય આને છિંતા આને દરો લાગાય છે.,fear
મારો જીવન [ni] છિંતા માને દરાવે છે.,fear
આ દાવા દિન મા એક વાર લેવી.,neutral
ડોક્તર ને [kahyu] કે રોગ ગંભિર છે માને દરાયો થાયો.,fear
Online સેવા થી ઘર બેથા સારો ઉપછાર મદ્યો.,happy
આ દાવા દિન મા એક વાર લેવી.,neutral
માને [ghano] ત્રાસ લાગાય છે.,fear
માને [ghano] ઘામ આને નિરાસા છે.,sad
માને [ghano] ક્રોધ આવે છે આ ગલાત વા્યવહાર આને [dhokha] થી.,angry
માને [ghano] ક્રોધ છે.,angry
આ બિમારી ના લાક્ષન મા બુખાર આને ખાંસી છે.,neutral
માને દાવા [khadhya] પાછી થોદી [rahat] લાગે છે.,neutral
માને [ghano] [gusse] આવ્યો છે ડોક્તર ને.,angry
મારો જીવન ગંભિર સંકાત મા છે માને દહ્સાત લાગાય છે.,fear
મારો operation થાય તે નું હું [ghano] દરો છું.,fear
માને [ghano] છિંતા આને ભય આને દર આને ત્રાસ લાગાય છે.,fear
હું [ghano] ક્રોધી આને [gusse] મા છું.,angry
આ અંન્યાય માને ક્રોધ [apave] છે.,angry
આ e-consult સેવા ઘનું ઉપકારાક છે.,happy
માને [ghano] ક્રોધ આવે છે આ [dhokha] આને અંન્યાય થી.,angry
મારો જીવન મા આનંદ આવ્યો છે.,happy
આ portal બિલ્કુલ કામ નાથી કરતો.,angry
આ ગલાત [kam] માને ક્રોધ [apave] છે.,angry
મારો રોગ ના લાક્ષન વધુ છે માને [ghano] ભય આને છિંતા લાગાય છે.,fear
હું આજ ખુબ ઉદાસ આને થાકેલી છું.,sad
હું આજે [ghano] બેબાસ આને [asahay] છું.,sad
આ online portal [par] મારો medical record છે.,neutral
માને ખુબ [aanandmay] અનુભવ થાયો છે.,happy
ડોક્તર ને [kahyu] કે રોગ ગંભિર છે માને દરાયો થાયો.,fear
હું ડોક્તર ના સુજાવ પ્રમાને પાની વધુ [pu] છું.,neutral
હું આજે [ghano] દુખી આને બેબાસ છું.,sad
ડોક્તર ને મારો report જો્યા આને દાવા આપ્યા.,neutral
આ ગલાત કામ આને બેવકુફ પં માને નારાજ કરે છે.,angry
હું [ghano] ક્રોધી આને નારાજ આને આસાંત છું.,angry
હું આજે [ghano] દુખી આને નિરાસ છું.,sad
આ બેવકુફ વા્યવહાર માને ક્રોધ આને [gusse] [apave] છે.,angry
માને [ghano] [gusse] આવ્યો છે ડોક્તર ના ગલાત ઉપછાર થી.,angry
મારો મન શાંતિ આને આનંદ મા છે.,happy
હું આજ બિલ્કુલ ઉદાસ આને નિરાસ છું.,sad
આ ગલાત આને નિર્દયી આને બેવકુફ પં માને ક્રોધ [apave] છે.,angry
માને ખુબ સારી અનુભવ આવી.,happy
આ portal બિલ્કુલ કામ નાથી કરતો.,angry
માને [ghani] તકલીફો આને વેદના છે.,sad
માને [ghano] ભય આને છિંતા આને દરો લાગાય છે.,fear
મારો test કાલ ડોક્તર ને report મોકલાવો પદ્સે.,neutral
હું બિલ્કુલ થાકેલી આને હારી ગાયી છું.,sad
માને આજે હોસ્પિતલ મા check up આને blood test થાયા.,neutral
માને [ghano] અંસંતોસા આને ક્રોધ છે આ [bekar] સેવા થી.,angry
આ online portal [par] મારો સ્વાસથ્ય record સાચો વાવાલ છે.,neutral
હું આજે [ghano] દુખી છું.,sad
આ બિમારી ના ઉપછાર માતે તિન થી ચાર મહિના લાગસે.,neutral
ડોક્તર ને [kahyu] કે રોગ ગંભિર છે માને દરાયો થાયો.,fear
માને [ghano] દુખ આને વેદના છે.,sad
હું આજે [ghano] ક્રોધી આને આસાંત છું.,angry
મારો સાપનો તુત્યો ગાયો આને હું નિરાસ છું.,sad
આ ગલાત [kam] થી માને [ghano] [gusse] આવ્યો.,angry
હું આજે [ghano] ગાભ્રાયો આને વ્યાકુલ આને દરો આને છિંતિત આને થરથરયો છું.,fear
મારો blood report કાલ ડોક્તર ને મોકલે પદ્સે.,neutral
માને રોજ [sakare] દાવા લેવી પદે છે.,neutral
હું ખુબ સુખી છે.,happy
હું માને સારી સેવા [madhi] છે માતે આબહાર છું.,happy
હું આજે [ghano] દુખી આને નિરાસ છું.,sad
હું આજે [ghano] ગાભ્રાયો આને વ્યાકુલ આને દરો આને છિંતિત છું.,fear
આ સેવા મા ડોક્તર સાથે video call કરી [shakay] છે.,neutral
મારો blood test સારો આવ્યો છે.,neutral
મારો જીવન આખિર [tak] દુખ છે.,sad
મારો સ્વાસથ્ય [sudhri] [rahyu] છે.,happy
માને result સારો મદ્યો છે હું ખુશ છું.,happy
માને આગાલાગ test આને report નું result ડોક્તર ને આપ્વું પદ્સે.,neutral
સેવા માતે ડોક્તર ને ખુબ આબહાર છે.,happy
મારો જીવન મા ઘનું અંધારું આને કાસ્ત છે.,sad
હું આજે [ghano] ગાભ્રાયો આને છિંતિત આને દરો છું.,fear
હું આજે [ghano] દરો આને વ્યાકુલ છું.,fear
આ online portal [par] appointment લેવી આને report મોકલી [sakay].,neutral
માને [ghano] દરદ આને વેદના છે.,sad
ડોક્તર ના instruction પ્રમાને રોજ exercise [karu] છું.,neutral
મારો જીવન મા ઘનું કાસ્ત આને ઘામ છે.,sad
માને [ghano] દરો લાગાય છે મારો રોગ ગંભિર છે.,fear
હું [ghano] ક્રોધી આને નારાજ આને આસાંત છું.,angry
આજે મારો દરદ નાથી આને માને આનંદ છે.,happy
report સારો આવ્યો માને [ghani] ખુસી છે.,happy
માને [ghano] ક્રોધ આવે છે આ ગલાત કામ થી.,angry
હું [ghano] નારાજ આને ક્રોધી છું.,angry
હું આજ બિલ્કુલ થાકેલી છું [koi] મદદ નાથી.,sad
આજે માને [aanandno] અનુભવ છે.,happy
હું આજ ખુબ દુખી આને નિરાસ છું.,sad
હું બિલ્કુલ નિરાસ આને થાકેલી છું.,sad
મારો blood pressure આને sugar normal range મા છે.,neutral
મારો સંકાત મા [hovu] નું દર માને ગાભરા્યો છે.,fear
મારો પરિવાર મા [ghano] દુખ આને ઘામ છે.,sad
મારો ભાવિષ્ય આને સંકાત [ni] છિંતા માને દરાવે છે.,fear
દાવા થી દરદ ઓછી થાયો છે.,happy
હું આજે [ghano] થરથરયો આને દરો છું.,fear
આ online portal [par] મારો સ્વાસથ્ય record સાચો વાવાલ છે.,neutral
મારો ભાવિષ્ય આને જીવન [ni] છિંતા માને દરાવે આને થરથરો છે.,fear
મારો ભાવિષ્ય આને જીવન [ni] છિંતા માને દરાવે આને થરથરો છે.,fear
હું આજે [ghano] ક્રોધ આને [gusse] મા છું.,angry
આ દાવા બિલ્કુલ કામ નાથી [karti] માને [ghano] અંસંતોસા આને [gusse] છે.,angry
મારો ભાવિષ્ય આને જીવન [ni] છિંતા છે.,fear
આજે મારો તાનાવ બિલ્કુલ ઓછી થાયો છે.,happy
હું આજે [ghano] દરો આને વ્યાકુલ છું.,fear
હું [ghano] વ્યાકુલ આને ગાભ્રાયો આને છિંતિત છું.,fear
હું આજે [ghano] [asahay] આને બેબાસ છું.,sad
મારો test result કાલ આવસે આને ડોક્તર ને જાનાવસે.,neutral
માને આજે online ડોક્તર ને મિલ્યો આને report [moklyo].,neutral
માને સુખ આને શાંતિ છે.,happy
મારો પરિવાર સ્વાસથા આને સુખી છે.,happy
માને આજ [ghano] આનંદ થી નિછિંત છું.,happy
મારો test result કાલ આવે છે.,neutral
મારો test result [aavane] [vale] છે માને [ghano] દરો લાગાય છે.,fear
આજે મારો પરિવાર [shu] આને સુખી છે.,happy
હું બિલ્કુલ થાકેલી આને હારી ગાયી છું.,sad
આ બિમારી માતે test [karavi] ને result લેવા પદ્સે.,neutral
