translated_comment,sentiment
"എന്നിരുന്നാലും, വിശുദ്ധ തിരുവെഴുത്തുകളുടെ സമ്പൂർണലോക ഭാഷാന്തരത്തിന്റെ ഒരു പ്രതിപോലും അവൾക്ക് ഉണ്ടായിരുന്നില്ല!",sad
ലോകാവസാനം ഞാൻ ആദ്യമായി കണ്ടതാണ്.,sad
ഇത് നമ്മുടെ രാജ്യമല്ല.,neutral
India - ഇന്ത്യയിലെ ഏറ്റവും വലിയ നഗരങ്ങളിലൊന്ന് - ലോകത്തിലെ ഏറ്റവും വലിയ നഗരങ്ങളിൽ ഒന്നാണ്.,happy
"സദൃശവാക്യങ്ങൾ 3: 5, 6 - ലെ വാക്കുകൾ എത്ര സത്യമാണ് : ""യഹോവയുടെ അനുഗ്രഹം സമ്പത്തുണ്ടാക്കുന്നു; അതിനാൽ അവൻ അതിനോടു വേദന കൂട്ടുന്നില്ല. """,happy
ദൈവ ത്തി ന്റെ പരിശു ദ്ധാ ത്മാ വി ന്റെ ഫലം നട്ടുവ ളർത്താ നും ദൈവ ത്തി ന്റെ ഗുണങ്ങൾ പ്രകട മാ ക്കാ നും നമുക്ക് എങ്ങനെ കഴിയും?,angry
%s കൊണ്ട് കളി മാറ്റുക,happy
ഞാൻ സർവീസ് ഡിപ്പാർട്ടുമെൻറിലും യഹോവയുടെ സാക്ഷികളുടെ യോഗങ്ങളിലും പ്രവർത്തിച്ചിട്ടുണ്ട്.,happy
ഇന്ത്യയുടെ സുപ്രീം കോടതിയുടെ പട്ടിക,happy
പ്രക്രിയ പ്രവർത്തിക്കുന്നില്ല. പ്രക്രിയ പ്രവർത്തിക്കുന്നില്ല.,fear
ഈ നടപടി നിലവിലുണ്ടു്,neutral
എഫ്രയീം ദൈവപുരുഷൻ ; അവന്റെ അപ്പൻ യുദ്ധവീരൻ .,happy
രാജ്യസുവാർത്ത പ്രസംഗിക്കുന്നത് പ്രസംഗവേലയിൽ തുടരാൻ നമ്മെ സഹായിക്കുന്നു,neutral
"അതുവരെ, യഹോവയുടെ സാക്ഷികളുടെ രാജ്യഹാളിൽ ഒരു ഡിസ് ട്രിക് റ്റ് കൺവെൻഷനിൽ സംബന്ധിക്കാൻ നിങ്ങൾക്കു ക്ഷണം ലഭിക്കും.",happy
"എന്റെ മകളേ, ഞാൻ എന്റെ അച്ഛന്റെ വീട്ടിൽ വരാതെയും ഞാൻ അമ്മയുടെ വീട്ടിൽ ഇരിക്കാതെയും ഞാൻ അമ്മാവിയമ്മയുടെ വീട്ടിൽ ഇരിക്കാതെയും ഇരിക്കുന്നതിൽ നീ ഭാഗ്യവതി.",happy
റഥർഫോർഡ് സഹോദരന്റെ മരണശേഷം ജയിൽ മോചിതനായി.,sad
"പരിച, പരിച, പരിചകൊണ്ടല്ല പരിച, പരിചകൊണ്ടത്രേ",angry
കൊടുക്കേണ്ട ആദ്യത്തെ അടയാളം ഇതാണ്.,sad
തത് ഫലമായി ആരോഗ്യപരിപാലന വിദഗ് ധരുടെ എണ്ണം വർധിച്ചുവരികയാണ് .,happy
ഓരോ മാസവും സഭകൾ ഈ തുക ന്യൂയോർക്കിലെ ബ്രുക്ലിനിലുള്ള യഹോവയുടെ സാക്ഷികളുടെ രണ്ടാം ലോക ആസ്ഥാനത്ത് എത്തിച്ചേരുന്നു.,neutral
സൈന്യങ്ങൾ യെരൂശലേമിനെ വളഞ്ഞിരിക്കുന്നതു കാണുമ്പോൾ നീ ഭയപ്പെടും.,angry
യഹോ വ യു ടെ സാക്ഷി ക ളു ടെ സഭയിൽ ഒരു മൂപ്പനാ യി സേവി ക്കാ നുള്ള പദവി യും എനിക്കുണ്ട്.,neutral
അധികം തിന്നാൽ ദേഹത്തിന്നു ഭക്ഷണം വേണ്ടാ; അധികം പഞ്ചസാര തിന്നാൽ വേണ്ടാ.,fear
"ഞാൻ ആ പുസ് തകം തുറന്നു, ഏകദേശം മൂന്നു മണിക്ക് ഒരു കുട്ടി കിടക്കയിൽ ഇരിക്കുന്നതും കിടക്കയിൽ ഇരുന്നും കിടക്കയിൽ ഇരിക്കുന്നതും കണ്ടു.",happy
ദാവീദിന്റെ പുത്രനായ ക്രിസ്തു എന്നു വിളിക്കപ്പെടരുതു.,angry
❍ സൗരോർജം,angry
കട്ടിലിൽ തീൎന്നാൽ തീൎക്കരുതു,angry
മരിച്ച വ രു ടെ മരണം പുനരു ത്ഥാ ന ത്തി ലൂ ടെ ജീവനി ലേക്ക് ഉയിർപ്പി ക്ക പ്പെ ടു ന്നു.,sad
17 അവൻ സംസാരിച്ചു തീർന്ന ഉടനെ അവന്റെ നിന്ദ അവന്റെ മേൽ വരും; അവന്റെ നിന്ദ അവന്റെ മേൽ ഇരിക്കും.,angry
രണ്ടാം ലോകമഹായുദ്ധകാലത്ത് യഹോവയുടെ സാക്ഷികൾ തടങ്കൽപ്പാളയങ്ങളിൽനിന്നും തൊഴിൽപ്പാളയങ്ങളിൽനിന്നും വിടുവിക്കപ്പെട്ടു.,sad
നാല്പത്തഞ്ചു മീറ്റർ ഉയരമുള്ള നാല്പതു മീറ്റർ ഉയരമുള്ള മരത്തിന്റെ പണികൾ രണ്ടാഴ് ചകൊണ്ട് തകർന്നുപോയത് എങ്ങനെയെന്ന് ഈ പട്ടികയിൽ കാണാം!,happy
ദാരിദ്ര്യത്തിൽ കഴിയുന്നതിനെക്കാൾ ദാരിദ്ര്യത്തിൽ വസിക്കുന്നതു നല്ലതു.,happy
ലോകത്തിൽ ഒരുവൻ ജനിച്ചവനും ലോകത്തിൽ മറ്റൊരുത്തനും ഉണ്ടു.,angry
നമുക്കിങ്ങനെ ഒരു പന്ത് എടുക്കാം!,neutral
മുകളിൽനിന്നു പരിചയും പരിചയും പരിചയും എടുക്കേണം; ബലവാന്റെ കയ്യിൽനിന്നും ബലവാന്റെ കയ്യിൽനിന്നും.,angry
"ഭാര്യാഭർത്താക്കന്മാരോടൊപ്പം, നമുക്ക് പരസ് പരം വേണ്ട കാര്യങ്ങൾ പരിശോധിക്കാം.",neutral
2000 -ാം ആണ്ട് ആയപ്പോഴേക്കും 5 - ൽ ഒരാൾ വീതം എച്ച്ഐവി / എയ് ഡ് സ് ബാധിച്ചിരിക്കുന്നുവെന്നു കണക്കാക്കപ്പെടുന്നു.,fear
അവരോട് ഇടപെടുന്നത് അവർക്ക് ഇഷ്ടമല്ല.,angry
"നിന്റെ ദൈവത്തിന്റെ ആലയത്തിലേക്കു ചെല്ലുമ്പോൾ മലനാട്ടിൽ പാർക്കുംന്നവരേ,",angry
ഈ കടയിൽ ഒരു ദ്വാരമുണ്ട്.,angry
നിങ്ങൾ ഒരു മാതാവോ പിതാവോ ആണെങ്കിൽ കുട്ടിയുടെ ക്ഷേമത്തിൽ അമിതമായി ഉത് കണ് ഠപ്പെടരുത് .,happy
നിങ്ങൾ ജനിച്ചാൽ ഒരു പൂർണമനുഷ്യനെ നിങ്ങൾ കണ്ടേനെ എന്നതിനോടു നിങ്ങൾ യോജിക്കും.,angry
ഈ പുസ് തകം ബൈബിളിന്റെ ഭാഗമല്ലെങ്കിലും അതു മുഴുവനായോ ഭാഗികമായോ 400 - ലധികം ഭാഷകളിൽ ലഭ്യമാണ് .,angry
""" ജ്ഞാനികളോടുകൂടെ നടക്ക; നീയും ജ്ഞാനിയാകും; ഭോഷന്മാർക്കു കൂട്ടാളിയായവനോ വ്യസനിക്കേണ്ടിവരും. """,angry
"അതു താമസിക്കയില്ല. """,neutral
"തത് ഫലമായി, അടിയന്തിരതാബോധം അനേകർക്കു നഷ്ടപ്പെട്ടു.",angry
പ്രധാനമന്ത്രിയുടെ തെരഞ്ഞെടുപ്പ് ഇപ്പോൾ എത്തിയിരിക്കുന്നു.,happy
നിനക്കറിയാത്ത ഒരു കളിയെ കുറിച്ച് നിനക്ക് ഒരു കളി കളിക്കാം.,fear
20-ആം നൂറ്റാണ്ടിൽ ബാബിലോണിയരും റോമാക്കാരും നഗരം നശിപ്പിക്കപ്പെട്ടു. ബി.സി.,neutral
ബൈബിളിൽനിന്നു പഠിച്ച കാര്യങ്ങൾ അദ്ദേഹത്തിനു വളരെ മതിപ്പു തോന്നി.,happy
"ഒരു വഴി കണ്ടെത്താനായില്ല, ഞാൻ യഹോവയ് ക്കു നേരെ പുറംതിരിഞ്ഞു. """,sad
ലോകജനസംഖ്യയുടെ 10 ശതമാനത്തിൽ താഴെ മാത്രമേ യു. എസ് .,fear
ഞാൻ ബസ്സിൽ ഉണ്ടായിരുന്നില്ല.,angry
അത് ഗംഭീരമല്ലേ?,angry
ഇതാരുടെ വക്കീൽ?,neutral
അതൊരു നല്ല ചോദ്യമാണ്.,neutral
"ഇത് ലോകാവസാനമല്ല, ലോകത്തിന്റെ അവസാനമല്ല.",sad
ഞങ്ങളെ പറ്റി കള്ളം പറയരുത്.,neutral
നീ ക്ലോക്ക് ഓഫ് ചെയ്യണം.,neutral
കുട്ടിയുടെ ആരോഗ്യം സംരക്ഷിക്കാനുള്ള നിങ്ങളുടെ ശ്രമങ്ങളെ യഹോവ അനുഗ്രഹിക്കും,angry
എന്താണ് ഇത് ?,neutral
നമുക്ക് വായിക്കാനും പഠിക്കാനും തുടങ്ങാം.,neutral
നിന്റെ രാജത്വത്തിന്റെ ഗൃഹം എന്നേക്കും പണിയരുതു; നിന്റെ രാജത്വത്തിന്റെ രാജ്യഭരണത്തിന്നുള്ള നിന്റെ മകന്നു തന്നേ.,angry
അവിടെ സമയമില്ല.,neutral
[ 2 -ാം പേജിലെ ചിത്രങ്ങൾക്ക് കടപ്പാട് ],neutral
"ഭാര്യയോടൊപ്പം, ആറുവയസ്സുള്ള എന്റെ ജ്യേഷ് ഠനോടൊപ്പം",happy
ഇതൊരു നല്ല നമ്പറാണ്.,neutral
അച്ഛന് കത്തെഴുതാൻ കഴിയും!,happy
കുട്ടികളോടൊപ്പം വായിക്കുക.,happy
അക്ഷരങ്ങൾ എഴുതുവാനും എഴുത്തുകൾ എഴുതുവാനും എഴുത്തുകൾ എഴുതുവാനും എഴുത്തുകൾ എഴുതുവാനും എഴുത്തുകൾ എഴുതുവാനും എഴുത്തുകൾ എഴുതുവാനും എഴുത്തുകൾ എഴുതുവാനും എഴുത്തുകൾ എഴുതുവാനും എഴുത്തുകൾ എഴുതുവാനും എഴുതിവെക്കേണം.,happy
"നീ വീട്ടിൽ പോകുമ്പോൾ, ഞാൻ നിന്നെ വീണ്ടും കണ്ടെത്തും, പക്ഷേ നീ ഇനി അവിടെ പോകില്ല.",fear
"ഏതാനും മിനിട്ടു കഴിഞ്ഞ്, ഒരാഴ് ച കഴിഞ്ഞ് ഞങ്ങൾ സാവൊ പൗലോയിലേക്കു പോയി.",angry
രഹത് റ്റുഗർ ജില്ലയിലെ അഹമ്മദാബാദ് നഗർ ജില്ലയിലെ ഗ്രാമങ്ങളുടെ പട്ടിക,neutral
പോകാൻ തയ്യാറാണെങ്കിൽ ദേഷ്യം വരും.,happy
ഒരു പറുദീസാ ഭൂമിയിൽ നിത്യം ജീവിക്കാനുള്ള പ്രത്യാശയില്ലാതെ മരിച്ചുപോയ നൂറുകോടി ആളുകളുടെ കാര്യമോ?,neutral
ഇത്ര ദേഷ്യപ്പെടരുത് നീ ഇത്ര ദേഷ്യപ്പെടരുത്.,angry
"അതുകൊണ്ട് നിങ്ങളുടെ കുട്ടിയുടെ സ്ഥാനം ഏറ്റെടുക്കുക, അവനു പോകേണ്ട സ്ഥലത്തേക്ക് ചെല്ലുക.",neutral
തടാകം കാലിയായിരുന്നു.,angry
അവിടെ ഞങ്ങൾ സർവീസ് ഡിപ്പാർട്ടുമെൻറിൽ സേവിച്ചു.,neutral
ആകയാൽ ഒരുമിച്ചു കൂടിയിരിക്കുന്നവരുടെ അടുക്കൽ നിങ്ങൾ ചെന്നു ഒരു കല്ലു അവരുടെ മേൽ ഇട്ടു അവരുടെമേൽ കല്ലു ഉരുട്ടിക്കൊണ്ടു പോകുവിൻ .,neutral
11 ഒരുത്തൻ സഹോദരന്നു വേണ്ടി പ്രായശ്ചിത്തം കഴിച്ചു തന്റെ ഇഷ്ടം ചെയ് വാൻ പ്രസാദിച്ചാൽ അവന്നു പ്രസാദം വരും.,happy
ഐക്യനാടുകളിൽ വിദ്യാർഥികളുടെ എണ്ണം 40 ശതമാനമായി വർധിച്ചു!,angry
"▪ ഐക്യരാഷ് ട്രങ്ങളുടെ കുട്ടികളുടെ ആരോഗ്യ സംഘടന (എഫ് സി) 2005 - ൽ നടത്തിയ ഒരു സർവേ അനുസരിച്ച്, ""എല്ലാ പ്രായക്കാർക്കും ബൈബിളിൽ താത് പര്യം ഇല്ല എന്നു കണക്കാക്കപ്പെട്ടിരിക്കുന്നു. """,angry
"ഉദാഹ ര ണ ത്തിന് , നിങ്ങൾ ഒറ്റയ് ക്ക് മാതാ പി താ ക്ക ളാ ണെ ങ്കിൽ ആത്മീയ കാ ര്യ ങ്ങ ളിൽ താത് പ ര്യ മി ല്ലെന്ന് മനസ്സി ലാ ക്കാൻ നിങ്ങളു ടെ കുട്ടിയെ സഹായി ക്കാ നാ കും.",neutral
ഞങ്ങൾ മുഴുസമയ ശുശ്രൂഷ ഏറ്റെടുത്തു.,angry
""" ഇല്ലാത്തതിനെ കുറിച്ച് ഉത് കണ് ഠപ്പെടേണ്ട ആവശ്യമില്ല....",sad
ഈ വിവാദവിഷയത്തെക്കുറിച്ച് ഞങ്ങളോട് സംസാരിക്കാനാണ് അവൻ ആഗ്രഹിക്കുന്നത് !,neutral
"‘ ജഡത്തിന്റെ പ്രവൃത്തികൾ, ' ‘ ആത്മാവിന്റെ ഫലം, ' ‘ ആത്മാവിന്റെ ഫലം ' എന്നിവ അവയിൽ ചിലതാണ് .",happy
നീയിങ്ങനെയൊന്നും കണ്ടിട്ടില്ല.,fear
ശേഷയ്യൻ:- അടുത്ത ലേഖനത്തിൽ കാണാമല്ലോ. ഇതാദ്യമായി നമുക്ക് ഒരു കുഞ്ഞ് കിട്ടാൻ പോകുന്നു. ഒരു കുഞ്ഞ് ജനിക്കാൻ പോകുന്നു. എന്നാൽ നമുക്ക് ഒരു കുഞ്ഞ് ഇല്ല..,neutral
അവരുടെ അപ്പുറം അവൻ യെരൂശലേമിൽ പാർത്തു; അവന്റെ ശേഷം യെരൂശലേമിൽ പാർത്തു.,neutral
സത്യക്രിസ് ത്യാനികൾ ഈ ലോകത്തിന്റെ ലോകത്തിന്റെ പ്രശ് നങ്ങൾക്കു വശംവദരല്ല; ലോകത്തിന്റെ ആത്മാവിന് അവർ വശംവദരാകുന്നില്ല.,angry
"പ്രശ് നം ഒരു ചോദ്യമല്ല, മറിച്ച് ഒരു ചോദ്യോത്തര ചർച്ചയാണ് .",sad
"പ്രിയരാജൻ, പ്രിയൻ, പ്രിയൻ, പ്രിയൻ, പ്രിയൻ, പ്രിയൻ, പ്രിയൻ.",sad
"റോമർക്കുള്ള ലേഖനത്തിൽ പൗലൊസ് ഇങ്ങനെ എഴുതി: ""ക്രിസ് തു നമ്മുടെ പാപങ്ങൾക്കായി മരിച്ചിരിക്കുന്നു; അവൻ മൂന്നാം നാൾ തിരുവെഴുത്തുകളെ ആധാരമാക്കി ഉയിർത്തെഴുന്നേറ്റിരിക്കുന്നു; അവനെ മൂന്നാം നാൾ ഉയിർത്തെഴുന്നേല്പിച്ചു; മൂന്നാം നാൾ ഉയിർത്തെഴുന്നേറ്റിരിക്കുന്നു.",angry
നിങ്ങൾ ബാങ്കിൽ മുട്ട കൊണ്ടുവന്നോ?,sad
ഇത് സർക്കാരിന്റെ ഗവൺമെന്റാണ് മുഴുഭൂമിയെയും ഭരിക്കുന്നത്.,neutral
മുഴു സ മ യ സേ വ ന ത്തിൽ നിങ്ങൾക്കു ലഭിച്ച പദവി യെ ക്കു റിച്ച് വളരെ നന്ദി.,happy
"* തീർച്ചയായും, നിങ്ങൾ ഒരു മാതാവോ പിതാവോ ആണെങ്കിൽ കുട്ടിയുടെ പ്രായത്തിൽ എത്തിയേക്കുമെന്ന് ഉറപ്പുവരുത്തുക.",fear
കുഞ്ഞിന്റെ ഫോൺ നമ്പർ മറുപടി പറയാൻ കഴിയുന്നില്ല.,neutral
എണ്ണയുടെ വില വർദ്ധിക്കും; എണ്ണയുടെ വില വർദ്ധിക്കും.,fear
"ഒന്നാമതായി, എന്ത് ചെയ്യണമെന്ന് എനിക്കറിയില്ലായിരുന്നു. പക്ഷേ എന്ത് ചെയ്യണമെന്ന് എനിക്കറിയില്ലായിരുന്നു.",angry
ഇത് ശരിക്കും സംഭവിക്കുമോ?,fear
പ്രതികാരദിവസത്തിൽ വെളിച്ചം പ്രകാശിക്കും; പ്രതികാരദിവസത്തിലും അതു അങ്ങനെ തന്നേ ഇരിക്കും.,happy
ഗ്രാമപഞ്ചായത്ത് സംസ്ഥാനം നോക്കണ്ട. ഗ്രാമപഞ്ചായത്തിലെ സ്ഥിതി ശ്രദ്ധിക്കേണ്ട.,neutral
പകൽസമയത്തു വാതിൽ തുറന്നും വീടു വാതിൽ തുറന്നും വാതിൽ തുറന്നും,neutral
വിവാഹത്തിനുമുമ്പ് ലൈംഗികത എന്ന വിഷയത്തെ കുറിച്ചു ബൈബിൾ പറയുന്ന കാര്യങ്ങൾ മനസ്സിലാക്കാൻ യുവജനങ്ങൾക്കു ബുദ്ധിമുട്ട് അനുഭവപ്പെട്ടിരിക്കുന്നു.,angry
എന്തുകൊണ്ടാണ് മാർട്ടിൻ ലൂഥർ കിംഗ് യു.എസ്.എയിൽ നയിച്ചത്?,angry
"ബൈബിൾ പറയുന്നു: ""ലോകവും അതിന്റെ മോഹവും ഒഴിഞ്ഞുപോകുന്നു; ദൈവേഷ്ടം ചെയ്യുന്നവനോ എന്നേക്കും ഇരിക്കുന്നു. """,fear
