text,sentiment,language
किती निच वृत्ती ज्या ताटात खाल्ले भाजपा बरोबर त्याच ताटात घाण केली.,angry,mr
जर तुम्ही बालासाहेबांचं निष्ठावंत आहे तुम्हाला सत्याचं मोह नाही मग तुम्ही राजीनामा द्यावा,angry,mr
त्यांना माहीत आहे माझ्या समोर चं नाव घेतलं तर अजून डॅमेज कारेन.,angry,mr
हे कुचीड आहेत. नवीन ब्रीड आहे,angry,mr
सगळ्यांना चेक करून घेतलं होतं वाटत ह्या भोसड्या ने !,angry,mr
लय हसलो महाराष्ट्र दौरा पुढच्या जन्मात होणार आहे काय? देव जाणे,angry,mr
म्हणजे उद्धव जी रावण का?,angry,mr
सर्व सामान्यांना बुद्धी नसते हे गृहीत धरूनच लोकशाहीत नेतेमंडळी काम करतात.,angry,mr
हाय घेतलीत गरिबांची आता आई बाप आठवुन काय फायदा?,angry,mr
स्वागत करेंगे...नो शक.. षंढ गोडसेच्या भक्तांनी सांगण्याचं कारण नाही...,angry,mr
असं होतं तर सर्वोच्च न्यायालयात का गेला होता? कपिल सिब्बलला आर्थिक मदत करायला,angry,mr
तेच बाळासाहेब सोनियापुढे कोण झुकत हे पण सांगायचे .,angry,mr
हे सांगायला पण इंग्रजी वापराय लागते,angry,mr
नितेश राणे तुझी लायकी काय तो बोलतोय का लाज आहे का रे माजलेल्या जनावरा...,angry,mr
म्हणून पळून गेलात फाटली म्हणून...,angry,mr
तिघांनी एकत्र संसार करायला काय हरकत आहे? हिंदू धर्मात द्रौपदी चे नवरे होते,angry,mr
पराबाचा काका पटेल हे काय पटत नाय,angry,mr
अरे तुझ्या बापाला नाही जमल तू काय आहे,angry,mr
लाचार मिडिया ' ला राहुल गांधी ची भारत जोडो यात्रा दिसतीये का नाही!,angry,mr
गप्प.. काहीही हा,angry,mr
हे असले अफवा पसरवनारे मुख्यमंत्री आहेत आपले बाकी भक्तांची काय अवस्था मग,angry,mr
आधी तलवार चालवून पाहिली पण उपयोग होत नाही म्हटल्यानंतर ढाल समोर केली आहे..,angry,mr
खरं आहे लाज अजिबात नाही,angry,mr
डॉ. बाबासाहेब आंबेडकर मराठवाडा विद्यापीठात झालेला प्रकार अत्यंत निंदनीय आहे...,angry,mr
हि डब्बा संघटना फ्रॉड आहे तुमच्यासारखी,angry,mr
बाकी मी काहीच बोलले नव्हते मग तुला का गुजरात चे पाय दिसले?,angry,mr
मग खाज सुटली हे शब्द कसला माज आल्याचे लक्षण आहे,angry,mr
हिच्या मेंदूचे हिने लोणचे घातले होते...,angry,mr
आता पुढे मराठी लोक आपल्या मुलाचे नाव “एकनाथ”ठेवण्यापूर्वी दोनदा विचार करतील,angry,mr
गद्दार तर बरेच पाहिले.पण तुमच्यासारखे खाल्लेल्या ताटात हागणार पहिल्यांदा पाहिले.,angry,mr
"नुसत्या धमक्या आणि निकृष्ट दर्जाच ट्रोलींग एवढच काम दिलय राणे, पडळकर, राणा, वाघ यांना...",angry,mr
मंद असलं का असं सुचत असत.,angry,mr
तुझ्या बापाची कुळं जरी आरी तरी तुझं कुत्रीस्वप्न सत्यात येणार नाही...,angry,mr
पाण्याने गाड्या वाहत चालल्या आता त्यांच्या मागे धावाचं की इथ सुर्यवंशीसाठी व्यक्त होत बसायचं,angry,mr
मग ढोकळा विकायला जातो का गुजरात ला गुलामा,angry,mr
जयंत पाटीलाची बायको ही त्याच्या वर विश्वास ठेवत नाही आणि तुम्ही,angry,mr
अवघड जागी दुखन आणि जावयी डॉक्टर अशी परिस्थिती झालिये अंध भक्तांची,angry,mr
तरीही हा सुधारला आहे का? लातोंके भूत बातोंसे नही मानते,angry,mr
जातीवादी मानसिकता वाढीस लावण्या साठी असे प्रयत्न होत असतात.,angry,mr
अतुल तुझ्याकडे या भुंकणाऱ्या बघून कुत्र्यांची आठवण होते,angry,mr
मायला पाऊस थांबायचे नाव घेत नाही बहुतेक त्यालाही मशाली विझवायच्या असतील,angry,mr
पवारसाहेब ला माढ्यातून पळून का गेले ? ते पहिले सागं चाट्या,angry,mr
हे तुमच्या सारख्यांचा सर्वे करुन नंबर असतील %,angry,mr
: तुम्ही पण उद्धव झाला का,angry,mr
जंत्रीच सादर केलीत दात घशात घालणे ह्या म्हणीचा प्रत्यय आला हे वाचून,angry,mr
"असे प्रश्न विचारू नका सर, ते वेडे पुन्हा काही वेडसरपणा करतील हो.",angry,mr
हे साले कधीच सुधारणार नाही हरामखोर,angry,mr
तू अजून इथेच अडकली आहेस का... गोदी मीडिया माहित आहे का नाही.,angry,mr
हा आला लगेच गदागदा खाजवायला... लांडगा,angry,mr
"सर, तुम्हाला स्टुडिओत घुसून मारले होते शिवसेनेने सांगा ,बंदी घातली पाहिजे का?",angry,mr
"तुला काय माहित निष्ठा म्हणजे काय, तु अंधभक्ता, विष्ठा चाट.",angry,mr
यांचे बळजबरीने दिवस आलेत गद्दारी केल्यामुळे जेव्हा जातील तेव्हा कुत्र पण हाल खाणार नाही,angry,mr
खूप वाढले आहेत असे किस्से फसवणूक करणाऱ्या लोकांचे,angry,mr
पुणे सांस्कृतिक आणि बीड काय बिहार आहे का महेंद्र कुमार जी,angry,mr
घेतलेले जबाब ईन कॅमेरा असतात हे भोळसर जनतेला कळत नाही काय ?,angry,mr
खड्डा आहे का उंदीर ह्यांनी बिल पाडला आहे,angry,mr
"पीएफआयच्या व्हॉट्सअॅप ग्रुपचा अॅडमिन पाकिस्तानी, सिमीच्या धर्तीवर काम; एटीएसच्या चौकशीत माहिती उघड",angry,mr
भ्रष्टाचार ही देशाला लागलेली कीड आहे : देवेंद्र फडणवीस,angry,mr
हे महापुरुष जेल मध्ये घोटाळे करू येऊन अक्कल शिकवत आहेत,angry,mr
त्याच्यात दम पण नाही कोणी मुंडकं उडवलं हे सांगायची..,angry,mr
"रे बाबा हा माणूस म्हणतोय हिंदी मुघलांची भाषा, ते खोडू दे मला.",angry,mr
उन्मत्त अभिप्राय आहे हा,angry,mr
तुम्ही का उरकू लागायला येताय चव चाखली की काय,angry,mr
आता हेच होणार आहे गद्दारांच,angry,mr
राजीनामा द्या आणि निघा इथून महाराष्ट्रातून,angry,mr
का धार्मिक तेढ वाढवण्याचा प्रयत्न करताय?,angry,mr
"ब्लॅकबोर्ड: ला शीख दंगल म्हणू नका, ते हत्याकांड होते",angry,mr
अजुन काही रडगाणे ?,angry,mr
"भारत जिंकला ना,मग होताच तो नो बॉल",angry,mr
खरा लखोबा तर हा बोबडाच आहे,angry,mr
म्हणून म्हणतो सावंत अभ्यास वाढवा .. आमदार नाही पण नगरसेवक तर नक्की होणार ...,angry,mr
आता वेळ आली आहे कर्तुत्व दाखवून जिंकण्याची पण रडायचं काय थांबत नाही,angry,mr
लई जळली का? राणे भक्त,angry,mr
तो निळा शेनिक तेलतुंबडे आतंकवादी दहशतवादी होता,angry,mr
हा व्हिडिओ बघ रे आधी भक्ता....बाकी नंतर बोल,angry,mr
कशाला घ्यायचं मग घेताना कळलं नाय का?,angry,mr
शरद पवार ही नीच प्रवृत्ती आहे .. हिजडे झुकतात सोनिया गांधी समोर:- स्वर्गीय बाळासाहेब,angry,mr
ह्यांना बाळासाहेबांचा आणि शिवसैनिकांचा शाप लागनार.,angry,mr
महाराष्ट्रातील असा एक नेता आहे ते पक्ष सुपारी घेऊन चालवतात,angry,mr
काँग्रेस व राष्ट्रवादी सोबत जाऊन सतीचा रोल छान निभावता,angry,mr
आज वर पाहिलेले सर्वात नीच प्रवृत्तीचे राजकारणी आहेत हे राणे.....,angry,mr
कधी कधी स्वत:चं कर्तुत्व सिध्द करण्यासाठी दुसऱ्याला बदनाम करणे योग्य नाही !!,angry,mr
पाकिस्तानी तो फेकू होता जो तिथं बिर्याणी खाऊन आला,angry,mr
तुम्ही ट्विट लाईक नाही केले मग तुम्हाला आम्ही का सांगणार...,angry,mr
"भाजपा तोंडघशी पडतयं तरी सुधारणार नाही , नीचपणाचा कळस",angry,mr
अकलेच्या कांद्याच उत्तम उदाहरण म्हणजे हा. याला अर्थशास्त्राच नोबेल फेकून मारा कोणीतरी..,angry,mr
"व्हिसाच्या नावाखाली महिलेला लाखोंचा गंडा, पोलिसांनी आरोपीला 'असा' केला जेरबंद",angry,mr
साहेब पण ह्यांच्या गलिच्छ राजकारणाचे भाग होतील असे वाटलं नव्हतं,angry,mr
हे म्हणजे असे आहे बेरोजगारी भारतात नाही भारतीय बेरोजगार आहे.,angry,mr
तुम्हाला आता नक्सल असणाऱ्या लोकांचा पण पाठिंबा चालेल कारण आपलं अस्तित्व संपलेले आहे..,angry,mr
म्हणजे उठा येडे का भकास आघाडी करायला,angry,mr
काय भामट्या आहे हो तुम्ही म्हणतात असो आपल्याला काय...,angry,mr
परवानगी दिली नसली तरीही तुमच्यासाठी काय फरक पडतो. त्याने तुमच्या वडिलांचा फोटो वापरला नाही,angry,mr
ही यांची लायकी,angry,mr
आरे उठा मोदी देश लुटतोय बोला विरोध करा हा हिटलर पार वाट लावतोय,angry,mr
हिंदु म्हणून जन्माला आलो पण हिंदु म्हणून मरणार नाही...! ऑक्टोबर,angry,mr
असे नमुने भारतात कसे काय जन्माला आले रे...,angry,mr
कंटाळा आला आता ब्लॉक करून,angry,mr
एवढं सगळ हालल तरी अजून पण वाट बघताय का राहिलेलं हलायची,angry,mr
त्याला घेण माहीत आहे देण नाही.,angry,mr
चिता सोडला की आणला काय बडबड करतोय हा ।माणूस अध्यक्ष महोदय,angry,mr
चिन्ह अगदी समर्पक आहे. ज्या पक्षाचे काम भेटले त्याचे डब्बे ओढतो,angry,mr
लायकी आहे का तुला !,angry,mr
त्याशिवाय हिंदूत्ववादी कसं सिद्ध होणार..,angry,mr
तुम्ही सुद्धा मोदींची चाटेगिरी करताना मग हे सुद्धा बरोबर आहेच,angry,mr
आज पवार साहेब घासत आहेत असं म्हणायचं आहे का ढोरे तुला उगा बस बे,angry,mr
सुज्ञ लोक त्याचा तिरस्कार करतात चाटु लोक अशिक्षित त्याला पाठिंबा देतात,angry,mr
"म्हणजे , निवडणूक आयोग मॅनेज केला म्हणायचं शेठ आणि शहाने .",angry,mr
पुढील दहा वर्षे तु कोणत्या पक्षात राहशील हे तुला तरी माहीत आहे का !,angry,mr
मुंबई हि मराठी माणसाची आहे तुज्या सारख्या भय्यां ची नाही,angry,mr
एक विनंती आहे.... प्रचार सुरू करण्यापूर्वी साहेब त्याच पक्षात आहेत का याची खात्री करावी...!!!!,angry,mr
ते शिंदे म्हणाले की गदारीच का?,angry,mr
अरे मुर्खा ऑक्टोबर ला दिला आहे,angry,mr
मोदीजिंचा असा अपमान सहन केला जाणार नाही.. णीशेध..,angry,mr
घरी जाऊन झोपा आता...,angry,mr
अर्थात जे हे ठाकरेंचे ट्विट प्रभावित होऊन करणारे भक्त आहेत त्यांची कीव करावी,angry,mr
स्वायत्त संस्था हा शब्दच आता मोठा जोक आहे,angry,mr
मी काय म्हणतो स्वतःची औकात बघून बोलत जा ना म्हणजे कमी शिव्या खाशील जाडे,angry,mr
मोदींनी दिवे लावले म्हणून भारत जिंकला असे सांगू नका म्हणजे झाले,angry,mr
कोणतीही निशाणी मिळाली तरी कपाळावर लागलेली फुटीर आणि गद्दार ही निशाणी पुसता येणार नाही!,angry,mr
तुला कोणी विचारत तरी का रे..उगाच स्वतः मोठेपणा मिरवून काय मिळते,angry,mr
"अजानचा आवाज चालतो, मग हा आवाज का चालत नाही.कानात बोळे घालायला सांग त्यांना.",angry,mr
म्हणजे जेव्हा बँका लुटल्या जात होत्या तेव्हा देश बरबाद होत नव्हता?,angry,mr
चांगलाच चोप काढला पाहिजे होता...,angry,mr
तील तरूणांनी फक्त भोंगेच लावायचे का?,angry,mr
"त्यांच्याबद्दल आस्था नाहीरे, लोकं खिल्ली उडवत आहेत त्यांची",angry,mr
बंडला मारत फिरत होते का?,angry,mr
स्वतःच्या आया बहिणींवर वाईट नजर ठेवणारे लोक आहेत हे काय अपेक्षा यांच्याकडून,angry,mr
असे येडझवे प्रवक्ते लाभले,angry,mr
कशाला येड्यात काढता लोकांना... कमीत कमी आपल्या पदाचा तरी मान राखा...,angry,mr
तुम्हाला सत्तेचा माज आला आहे असं नाही का वाटत?,angry,mr
घरकोबड्याची टिटवी टिव कीव करायला लागली की समजायचं? नसलेली अक्कल पाजळणारचं?,angry,mr
हा पत्रकार आहे का प्रवक्ता हेच कळत नाही,angry,mr
त्यांना सध्या हागवण लागली आहे...!,angry,mr
ह्यांच्या हिंदुत्वाची व्याख्या गोबर भक्तांसारखीच आहे.,angry,mr
तुझी लायकी किती आहे नेमकी? आहे असं वाटतंय का तुला?,angry,mr
आज शेतकऱ्यांना प्रोत्साहन चे पन्नास हजार मिळाले तुम्ही बसले होते हलवत फाइल,angry,mr
कोन हे ये विदेशी भिखारी,angry,mr
तरी पण मोदींपेक्षा कमी आहेत,angry,mr
तुझा मालक काय वाटगं घेऊन बसतो काय देवळा बाहेर.,angry,mr
.... हे काका आहेत तर.....,angry,mr
आता खेकड्यांचा आणी पालीचा शोध लावणारे सुद्धा राजकारणात यायला लागले...!,angry,mr
महाराष्ट्र गरजेपेक्षा जास्त सहनशील आहे. गुजरात वाले वैद्यच योग्य आणि जालीम उपचार करतात.,angry,mr
इस्लाम मधे बायकांना काय अधिकार आहेत हे त्यांना माहीत नसतं म्हणून असं करतात!,angry,mr
आतून चिडचिडाट झालाय.. वर वर हसून काय फरक पडणार आहे का? तिळपापड ह्याला म्हणतात...,angry,mr
गद्दारांनां पुन्हा पुन्हा आठवण करून द्यावी लागते कारण गद्दार हे गद्दारच असतात.,angry,mr
म्हणजे तुम्हाला असं सुचवायचं आहे की देवेंद्रजी यांनी सुद्धा ब्लु प्रिंट वाचलेली नसेल.,angry,mr
दोन्ही राज्यांत भाजपच्या मुख्यमंत्री आहेत म्हणजे हे सगळे सोंग ठरवुन केलेली आहे असे समजावे,angry,mr
भाऊ दल्लुकर. कमी आवाजात भटी भुंकने हेच त्याचा धंदा. पगार मात्र फिक्स आहे बरं.,angry,mr
माझ्या समोर असे घडत असते तर धुनाई केली असती. एखाद्याला तरी चांगलच ठोकल असत.,angry,mr
तुझ्यातून कोणत्या तरी पार्टी ला बांधील असल्याचा वास येतोय हा सडक्या पणा सोड राज्या,angry,mr
हसणारे चु आहेत का हरामखोर,angry,mr
सुप्रीम कोर्टाच्या एका निर्णयामुळे पुढच्या सगळ्या बेकायदेशीर निर्णय होत आहेत.,angry,mr
आम्ही ही एक जणाला खुप मारला..मामीचे गाणे पाहत होता ऑनलाईन..,angry,mr
काय जोक मारत आहात? तुम्ही आठवडे मूग गिळून गप्प का बसले होते?,angry,mr
शिंदे गट आणि कमळाबाई घाबरले की काय जे आवाज दाबायचा प्रयत्न करत आहेत...,angry,mr
तु कोणत्या क्रिकेट प्रकारात प्लेअर होता?????????????????? उपाध्यक्ष होण्याची तुझी लायकी काय???????,angry,mr
"सर्रास बघतोय अशा चूका, खरंच पिऊन बातम्या देतात का?",angry,mr
"चिव शेणिक हो आता आपल्याला बाळासाहेबांच्या शिवसेनेला हरवायचे आहे, बर का....",angry,mr
योजना फक्त कागदावरच का....???,angry,mr
ताई जरा लक्ष घाला प्रत्येक पावसानंतर अवस्था वाईट होते चौकाची,angry,mr
हा एक महामूर्ख आहे,angry,mr
मी हुशार नाही रे....तू चुत्या आहेस,angry,mr
कुठुंन येतात ही लोकं,angry,mr
ढाल घेऊन हिंडणारे सगळेच योद्धे नसतात काही गद्दार पण असतात.,angry,mr
जनतेने विरोधी पक्षनेते पद देखील मिळणार नाही आशी काँग्रेसची लायकी ठेवलिय,angry,mr
दोन भावी पंतप्रधान एकाने माढ्यातुन आणि एकाने अमेठीतुन पळ काढला होता.,angry,mr
कॉमेंटस् वाचूनही निर्लज्जपणा जात नाही. कोडगेपणाची कमाल !!,angry,mr
अरे हा तर शाखेतून आलेला अनौरस दिसतोयबुलबुल चा जबरी फॅन दिसतोय,angry,mr
यांना का नाही पळवला तिथल्या लोकांनी. बाकी कसे इतरांच्या गाडीच्या मागे धावतात मारायला!,angry,mr
एवढं पण जळू नये.... लोकांचं प्रेम आहे उद्धवजीवर...,angry,mr
ये भाऊ बंद करून टाक हा शो,angry,mr
होणार तेच जे दिल्लीश्वर म्हणतील...,angry,mr
तू येडपट आहे हे वारंवार का सिद्ध करतोस,angry,mr
पाकिस्तान पेटवायला हवा होता,angry,mr
वेडा पाठक माग आणि त्याचा घरकोंबडा मालक पुढ...,angry,mr
केंद्रीय गृहमंत्रीपद तसेच राज्य गृहमंत्रीपद भाजपकडे आहेत मग वर बंदी का घालत नाहीत.,angry,mr
लग्नाला जायचे आहे म्हणून नेले आणि बाजारात विकले. उगाच नाही म्हणत 'मंदसे',angry,mr
अर्धवट ग्रुपचा नेता आहे हा,angry,mr
"बरोबर आहे अंजली ताई, आतच हे सगळं सोईच राजकारण चालू आहे.",angry,mr
"खाण्यामध्ये फक्त वेजेटेरियन, नॉन-वेजेटेरियन आणि मूर्ख असे तीनच प्रकार येतात..",angry,mr
मला कळत नाही की बलात्कार पीडित मोकळे का फिरत आहेत... त्यांना तुरुंगात टाकले पाहिजे,angry,mr
हेच जर उलटे झाले असते तरीही आपण असच बोले असते का ??,angry,mr
ते राणे आणि प्रताप सरनाईक निर्दोष आहेत काय सोमयजी अस समजावं काय,angry,mr
"घरावर झालेल्या हल्ल्यानंतर भास्कर जाधवांचे फडणवीसांवर गंभीर आरोप; म्हणाले, “गृहमंत्र्यांकडून आदेश….”",angry,mr
खाताना भाजतय आणि परसाकड जाताना पण,angry,mr
चूक आहे,angry,mr
शरद पवार कधी कुठे जोडायला गेले का..आयुष्य गेलं ना लोकांचं घर फोडण्यात..,angry,mr
"ढाल-तलवार चिन्ह मिळवून उपयोग काय, आयुष्यभर च्या पदराखालीच लपायचं आहे तुम्हाला.",angry,mr
आणि येड्या गज्जू ला काय पाहिजेफक्त चमकोगिरी,angry,mr
थोडक्यात गृहमंत्री बिनकामाचा आहे,angry,mr
जबरदस्तीने कंबरेवर हाथ ठेवून पोज का देत आहेत??,angry,mr
गाडीला बैल जुपणे हे अनैसर्गिक आणि क्रूर आहे त्यामुळे कळप करून पायी हिंडणेच योग्य.,angry,mr
हे असे बोलतात जसे फुले आंबडेकर यांच्या बरोबर ह्यांनी काम केले होते,angry,mr
बेअक्कल पत्रकार आहे ही,angry,mr
दिवाळीच्या मुहूर्तावरील शिंदे सरकारचा निर्णय अजूनही कागदावरच,angry,mr
काय रे थापाड्या...डिडॉलरायझेशन म्हणजे काय हे तुला अजूनही सापडले नाही?,angry,mr
ला ज्यांनी गद्दारी केली तो च खरा गद्दार बाकी सगळ्या पोकळ थापा,angry,mr
हे सगळे राजकारणी चोर आहेत ..जनतेने शहाणे व्हावे!,angry,mr
काय नष्टर हाय हा पंतप्रधान रा पगार व्हायच्या आत राजीनामा,angry,mr
पक्षाला नाही डायरेक्ट नाच लायकी दाखवली आहे,angry,mr
बोलतोय तो मर्द आहे का?,angry,mr
महाशक्ती पण एका विधवा स्त्रीला घाबरते..!,angry,mr
वारले का?नाहीं म्हंटले होते म्हणत आहात म्हणून,angry,mr
सेविंग अकाउंट बंद करण्यासाठी बँक चार्जेस लागत आहे. हेच योग्य आहे का?,angry,mr
हा वेडा आहे सगळे बिनधास्त होते याचं सरकार असताना .,angry,mr
मग आता बाळासाहेबांच्या शिवसेनेला शिव्या द्या.. मग जनता तुम्हाला योग्य पद्धतीने उत्तर देईल,angry,mr
काय मग झाला का हिशोब तुझ्या कुरेशी साहेबांनचा आणि तुझा पळपुटे भक्त...,angry,mr
झाकणझुल्याचा निकटवर्तीय पण घोटाळेबाज निघाला...!,angry,mr
स्वाभिमानी पक्षाचं काय झालं ते पण सांगा जरा स्वतःच ठेवा झाकून दुसऱ्याच पहा वाकून,angry,mr
आमची मशाल घेतोस का तोंडात,angry,mr
"शिल्लक सेनेत सगळेच भेदरलेत म्हणून अशी बाष्कळ भाषा वापरत आहेत राऊत, अंधारे,जाधव,सावंत",angry,mr
गद्दारी करणे ही पण आपली संस्कृती नाहीच,angry,mr
नवरा मिठीत मावण्याजोगा नाही म्हणून मुठीत ठेवण्याचा एक केविलवाणा प्रयत्न दिसतोय या बाईसाहेबांचा.,angry,mr
कसलं हरत आहात असे कळल्यार उपरती झाली आणि तोंड वर आभिनंदाची अपेक्षा करायची,angry,mr
श्रीमंत झालेल्या तथाकथित पत्रकारांची पण चौकशी एकदा झाली पाहिजे,angry,mr
त्या नावाखाली भ्रष्टाचार होत असेल तर ते बंद करावे,angry,mr
"तेव्हा साहेब बहुतेक लंगोटात शी करत असतील , थोडे लहान होते ना",angry,mr
पागल झाला आहे का रे,angry,mr
तो काय स्वाभिमान पक्ष आहे का आज काढला आणि उद्या बंध व्हायला,angry,mr
हा संडास कर्मचारी सेनेचा साधा अध्यक्ष होऊ शकत नाही,angry,mr
हे शेणक्याचें विचार कपटी राजा आणि त्याची वडापाव प्रजा,angry,mr
मंगळसूत्र लायसन आहे समोरच्या व्यक्तीला माहित पाहिजे ही स्त्रि च लग्न झालंय,angry,mr
दाखवून घ्या सर एव्हडा चांगला फोटो आवडला नाही,angry,mr
दोन दिवस आणि सगळे गद्दार बाहेर,angry,mr
ह्यांना ह्याचा पोरगं ऐकत नाही आणि हे आम्हाला बाळासाहेबांचे विचार सांगणार ...,angry,mr
गद्दारी नाही रे मित्रा... गदर केलाय गदर,angry,mr
तुमच्या पत्रकारांना काही तरी तर काम ठेवा,angry,mr
"तुला आता नाही जमणार, कायमचा घरात बसवला शिंदे नी",angry,mr
हा बुआ येडा आहे.,angry,mr
हो का साहेब जनतेला कळत नाही,angry,mr
"चांगली असावी लागते, दुर्दैवाने अंधभक्तांची जात खराब आहे.",angry,mr
जाऊद्या साहेब. असा विचार करणाऱ्यांना आजकाल धर्म द्रोही वगैरे वगैरे संबोधले जाते.,angry,mr
डोक्यावर पडली की काय ही? मा. बाळासाहेबांना कांग्रेस आणि राष्ट्रवादी कांग्रेस पहिल्यापासुनच नको होती…,angry,mr
त्याने नाही केल तर जबरदस्तीने शिकायला लावेल सगळं मी,angry,mr
तू मुख्यमंत्री होणे हा महाराष्ट्राचा अपमान आहे,angry,mr
